Price,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN
Datetime,,,,,
2024-11-29 09:00:00+00:00,207.29,207.29,206.95,207.24,0
2024-11-29 09:05:00+00:00,207.16,207.25,207.16,207.25,0
2024-11-29 09:10:00+00:00,207.29,207.29,207.25,207.26,0
2024-11-29 09:15:00+00:00,207.39,207.39,207.36,207.38,0
2024-11-29 09:20:00+00:00,207.48,207.48,207.37,207.4,0
2024-11-29 09:25:00+00:00,207.47,207.49,207.47,207.48,0
2024-11-29 09:30:00+00:00,207.23,207.6,207.23,207.47,0
2024-11-29 09:35:00+00:00,207.42,207.44,207.34,207.41,0
2024-11-29 09:40:00+00:00,207.4,207.53,207.3,207.43,0
2024-11-29 09:45:00+00:00,207.35,207.42,207.26,207.42,0
2024-11-29 09:50:00+00:00,207.17,207.2,207.08,207.2,0
2024-11-29 09:55:00+00:00,207.39,207.39,207.34,207.34,0
2024-11-29 10:00:00+00:00,207.09,207.15,207.08,207.08,0
2024-11-29 10:05:00+00:00,207.15,207.24,207.15,207.24,0
2024-11-29 10:10:00+00:00,207.18,207.18,207.18,207.18,0
2024-11-29 10:15:00+00:00,207.29,207.36,207.29,207.35,0
2024-11-29 10:20:00+00:00,207.29,207.43,207.29,207.4,0
2024-11-29 10:25:00+00:00,207.13,207.18,207.13,207.18,0
2024-11-29 10:30:00+00:00,207.13,207.17,207.13,207.16,0
2024-11-29 10:35:00+00:00,207.23,207.25,207.13,207.17,0
2024-11-29 10:40:00+00:00,207.1,207.27,207.05,207.18,0
2024-11-29 10:45:00+00:00,207.08,207.08,207.02,207.04,0
2024-11-29 10:50:00+00:00,207.02,207.07,207.02,207.07,0
2024-11-29 10:55:00+00:00,207.0,207.0,207.0,207.0,0
2024-11-29 11:00:00+00:00,207.0,207.02,206.95,207.0,0
2024-11-29 11:05:00+00:00,207.0,207.0,206.91,206.94,0
2024-11-29 11:10:00+00:00,207.05,207.05,206.98,207.0,0
2024-11-29 11:15:00+00:00,206.99,207.1,206.97,207.05,0
2024-11-29 11:20:00+00:00,207.19,207.25,206.97,206.99,0
2024-11-29 11:25:00+00:00,207.18,207.18,207.14,207.14,0
2024-11-29 11:30:00+00:00,207.22,207.27,207.17,207.17,0
2024-11-29 11:35:00+00:00,207.22,207.23,207.22,207.23,0
2024-11-29 11:40:00+00:00,207.2,207.22,207.13,207.22,0
2024-11-29 11:45:00+00:00,207.2,207.2,207.1,207.2,0
2024-11-29 11:50:00+00:00,207.23,207.24,207.13,207.2,0
2024-11-29 11:55:00+00:00,207.25,207.25,207.21,207.24,0
2024-11-29 12:00:00+00:00,206.7,207.19,206.67,207.13,0
2024-11-29 12:05:00+00:00,206.71,206.8,206.7,206.79,0
2024-11-29 12:10:00+00:00,206.74,206.8,206.71,206.8,0
2024-11-29 12:15:00+00:00,206.86,206.9,206.69,206.74,0
2024-11-29 12:20:00+00:00,206.8,206.92,206.76,206.87,0
2024-11-29 12:25:00+00:00,206.94,206.94,206.78,206.88,0
2024-11-29 12:30:00+00:00,206.86,206.98,206.86,206.97,0
2024-11-29 12:35:00+00:00,206.8,206.89,206.66,206.85,0
2024-11-29 12:40:00+00:00,206.54,206.8,206.54,206.8,0
2024-11-29 12:45:00+00:00,206.7,206.7,206.5,206.56,0
2024-11-29 12:50:00+00:00,206.74,206.74,206.59,206.59,0
2024-11-29 12:55:00+00:00,206.67,206.74,206.67,206.74,0
2024-11-29 13:00:00+00:00,206.72,207.565,206.5,206.7,0
2024-11-29 13:05:00+00:00,206.77,206.85,205.74,206.6667,0
2024-11-29 13:10:00+00:00,206.78,206.96,206.66,206.75,0
2024-11-29 13:15:00+00:00,206.5,206.76,206.3,206.72,0
