Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Datetime,,,,,
2024-11-29 09:00:00+00:00,171.06,171.06,171.06,171.06,0
2024-11-29 09:05:00+00:00,171.09,171.11,171.01,171.04,0
2024-11-29 09:10:00+00:00,171.09,171.09,171.09,171.09,0
2024-11-29 09:15:00+00:00,171.01,171.09,171.01,171.09,0
2024-11-29 09:20:00+00:00,171.2,171.2,171.03,171.03,0
2024-11-29 09:25:00+00:00,171.14,171.14,171.1,171.1,0
2024-11-29 09:30:00+00:00,171.11,171.16,171.11,171.16,0
2024-11-29 09:35:00+00:00,171.13,171.13,171.13,171.13,0
2024-11-29 09:40:00+00:00,171.16,171.18,171.16,171.18,0
2024-11-29 09:45:00+00:00,171.14,171.15,171.14,171.14,0
2024-11-29 09:55:00+00:00,171.14,171.14,171.12,171.12,0
2024-11-29 10:00:00+00:00,171.13,171.15,171.11,171.11,0
2024-11-29 10:05:00+00:00,171.24,171.24,171.15,171.15,0
2024-11-29 10:10:00+00:00,171.16,171.16,171.16,171.16,0
2024-11-29 10:15:00+00:00,171.19,171.2,171.19,171.19,0
2024-11-29 10:20:00+00:00,171.22,171.22,171.2,171.2,0
2024-11-29 10:25:00+00:00,171.15,171.2,171.15,171.2,0
2024-11-29 10:35:00+00:00,171.13,171.15,171.13,171.15,0
2024-11-29 10:40:00+00:00,171.17,171.17,171.12,171.12,0
2024-11-29 10:45:00+00:00,171.19,171.19,171.19,171.19,0
2024-11-29 11:05:00+00:00,171.22,171.23,171.22,171.23,0
2024-11-29 11:10:00+00:00,171.17,171.22,171.17,171.22,0
2024-11-29 11:15:00+00:00,171.17,171.17,171.17,171.17,0
2024-11-29 11:20:00+00:00,171.2,171.2,171.2,171.2,0
2024-11-29 11:35:00+00:00,171.18,171.18,171.18,171.18,0
2024-11-29 11:40:00+00:00,171.12,171.18,171.11,171.18,0
2024-11-29 11:45:00+00:00,171.11,171.11,171.11,171.11,0
2024-11-29 11:50:00+00:00,171.15,171.15,171.14,171.14,0
2024-11-29 11:55:00+00:00,171.2,171.2,171.19,171.19,0
2024-11-29 12:00:00+00:00,171.13,171.19,171.13,171.15,0
2024-11-29 12:05:00+00:00,171.08,171.16,171.08,171.15,0
2024-11-29 12:10:00+00:00,171.16,171.16,171.12,171.12,0
2024-11-29 12:20:00+00:00,171.21,171.21,171.16,171.16,0
2024-11-29 12:25:00+00:00,171.17,171.17,171.13,171.14,0
2024-11-29 12:30:00+00:00,171.07,171.2,171.07,171.18,0
2024-11-29 12:35:00+00:00,171.07,171.12,171.0,171.06,0
2024-11-29 12:40:00+00:00,170.93,171.06,170.93,170.99,0
2024-11-29 12:45:00+00:00,170.8,170.82,170.8,170.82,0
2024-11-29 12:50:00+00:00,171.0,171.0,170.82,170.82,0
2024-11-29 12:55:00+00:00,170.95,170.98,170.95,170.98,0
2024-11-29 13:00:00+00:00,170.94,171.23,169.51,171.0025,0
2024-11-29 13:05:00+00:00,170.94,170.9994,170.9,170.93,0
2024-11-29 13:10:00+00:00,170.9233,170.99,170.91,170.98,0
2024-11-29 13:15:00+00:00,170.8512,170.98,170.79,170.98,0
2024-11-29 13:20:00+00:00,170.95,170.99,170.86,170.99,0
2024-11-29 13:25:00+00:00,170.88,170.96,170.88,170.89,0
2024-11-29 13:30:00+00:00,170.85,170.94,170.8,170.88,0
2024-11-29 13:35:00+00:00,170.7,170.94,170.696,170.91,0
2024-11-29 13:40:00+00:00,170.42,170.87,170.42,170.77,0
2024-11-29 13:45:00+00:00,170.52,170.62,170.43,170.43,0
2024-11-29 13:50:00+00:00,170.54,170.7,170.53,170.59,0
2024-11-29 13:55:00+00:00,170.615,170.66,170.47,170.53,0
2024-11-29 14:00:00+00:00,170.67,170.83,170.6,170.62,0
2024-11-29 14:05:00+00:00,170.89,170.91,170.7222,170.77,0
2024-11-29 14:10:00+00:00,170.85,170.96,170.82,170.86,0
2024-11-29 14:15:00+00:00,170.91,170.93,170.8148,170.9,0
2024-11-29 14:20:00+00:00,170.86,170.94,170.61,170.92,0
2024-11-29 14:25:00+00:00,169.98,170.78,169.38,170.78,0
2024-11-29 14:30:00+00:00,168.9801025390625,170.36000061035156,168.82000732421875,170.22999572753906,967719
2024-11-29 14:35:00+00:00,169.05999755859375,169.49000549316406,168.75,169.02000427246094,181271
2024-11-29 14:40:00+00:00,169.5800018310547,169.6199951171875,168.92999267578125,169.0399932861328,147622
2024-11-29 14:45:00+00:00,169.74000549316406,169.8300018310547,169.3300018310547,169.5290069580078,168237
2024-11-29 14:50:00+00:00,169.89999389648438,169.9600067138672,169.6737060546875,169.73939514160156,126620
2024-11-29 14:55:00+00:00,170.00999450683594,170.00999450683594,169.77000427246094,169.89999389648438,158380
2024-11-29 15:00:00+00:00,170.25,170.3800048828125,169.97000122070312,170.0,236819
2024-11-29 15:05:00+00:00,169.97500610351562,170.30999755859375,169.8800048828125,170.210205078125,175491
2024-11-29 15:10:00+00:00,169.97000122070312,170.2100067138672,169.88499450683594,169.9600067138672,111738
2024-11-29 15:15:00+00:00,169.91000366210938,170.27000427246094,169.86000061035156,170.03500366210938,99068
2024-11-29 15:20:00+00:00,169.82000732421875,169.90350341796875,169.5800018310547,169.90350341796875,133543
2024-11-29 15:25:00+00:00,169.57000732421875,169.8249969482422,169.50999450683594,169.82000732421875,74348
2024-11-29 15:30:00+00:00,169.88999938964844,169.89999389648438,169.5399932861328,169.57000732421875,79953
2024-11-29 15:35:00+00:00,169.8719024658203,169.94500732421875,169.75999450683594,169.89999389648438,66024
2024-11-29 15:40:00+00:00,170.14999389648438,170.22000122070312,169.852294921875,169.87249755859375,90014
2024-11-29 15:45:00+00:00,169.66000366210938,170.13999938964844,169.66000366210938,170.11000061035156,79292
2024-11-29 15:50:00+00:00,169.80999755859375,169.9438934326172,169.6300048828125,169.6649932861328,80897
2024-11-29 15:55:00+00:00,169.89999389648438,169.94000244140625,169.80499267578125,169.81019592285156,72089
2024-11-29 16:00:00+00:00,170.0500030517578,170.08999633789062,169.89999389648438,169.91000366210938,66758
2024-11-29 16:05:00+00:00,170.23500061035156,170.23500061035156,170.0019989013672,170.05999755859375,67443
2024-11-29 16:10:00+00:00,170.47239685058594,170.47239685058594,170.2100067138672,170.22000122070312,124618
2024-11-29 16:15:00+00:00,170.4600067138672,170.5500030517578,170.44000244140625,170.47999572753906,106426
2024-11-29 16:20:00+00:00,170.53500366210938,170.58999633789062,170.4499969482422,170.4600067138672,69518
2024-11-29 16:25:00+00:00,170.47999572753906,170.5498046875,170.3300018310547,170.52000427246094,87877
2024-11-29 16:30:00+00:00,170.45730590820312,170.61000061035156,170.39999389648438,170.47999572753906,65841
2024-11-29 16:35:00+00:00,170.48500061035156,170.52999877929688,170.41000366210938,170.4600067138672,70781
2024-11-29 16:40:00+00:00,170.55999755859375,170.61000061035156,170.47999572753906,170.47999572753906,64514
2024-11-29 16:45:00+00:00,170.6199951171875,170.66990661621094,170.55999755859375,170.55999755859375,56854
2024-11-29 16:50:00+00:00,170.60000610351562,170.72000122070312,170.58999633789062,170.63499450683594,65214
2024-11-29 16:55:00+00:00,170.59750366210938,170.61000061035156,170.5399932861328,170.60000610351562,54757
2024-11-29 17:00:00+00:00,170.58929443359375,170.63340759277344,170.4499969482422,170.57000732421875,56428
2024-11-29 17:05:00+00:00,170.6300048828125,170.66000366210938,170.5,170.60000610351562,69579
2024-11-29 17:10:00+00:00,170.6199951171875,170.65989685058594,170.50999450683594,170.63099670410156,77404
2024-11-29 17:15:00+00:00,170.61000061035156,170.6875,170.55499267578125,170.60000610351562,89403
