SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,DIFF_O&C,DIFF_H&L,PREV_POST_MARKET_VOLUME
JNJ,2019-01-03,160390.0,4090817.0,Thursday,108.48537069712197,108.59543490791896,106.131779316241,106.43656158447266,8654500.0,-2.048809112649309,2.4636555916779628,3336149.0
JNJ,2019-01-04,156153.0,4440077.0,Friday,107.6218267025255,108.9171416713227,107.29164698399208,108.2229232788086,8831700.0,0.6010965762830978,1.6254946873306153,4090817.0
JNJ,2019-01-07,132241.0,3358545.0,Monday,108.05360724384984,108.663178310016,107.35092081110798,107.5287094116211,8404700.0,-0.5248978322287456,1.3122574989080107,4440077.0
JNJ,2019-01-08,10059.0,3227115.0,Tuesday,108.51925642259872,110.48341217314568,108.1382881820795,110.0262451171875,9351600.0,1.5069886945887845,2.345123991066174,3358545.0
JNJ,2019-01-09,168424.0,2084386.0,Wednesday,109.91617523021394,110.26329094872165,108.6462510176281,109.15421295166016,7403500.0,-0.7619622785537814,1.6170399310935437,3227115.0
JNJ,2019-01-10,168083.0,3070757.0,Thursday,108.10439962065728,109.96695224584134,108.10439962065728,109.81456756591795,6224400.0,1.7101679452606788,1.8625526251840654,2084386.0
JNJ,2019-01-11,118713.0,2810004.0,Friday,109.21347239940842,109.92462679370162,108.6293052475476,109.8484344482422,5300400.0,0.6349620488337848,1.295321546154014,3070757.0
JNJ,2019-01-14,113069.0,5587475.0,Monday,108.99336910062011,109.17962568930696,108.0197527655139,108.60391998291016,7374400.0,-0.38944911770995816,1.1598729237930598,2810004.0
JNJ,2019-01-15,153409.0,2096008.0,Tuesday,108.80711031081928,109.62832900296095,108.07055194114024,109.5182647705078,5194400.0,0.7111544596885153,1.5577770618207154,5587475.0
JNJ,2019-01-16,168609.0,2602897.0,Wednesday,109.56056838589042,109.56056838589042,108.28217654887854,108.40069580078124,6264200.0,-1.1598725851091842,1.2783918370118812,2096008.0
JNJ,2019-01-17,160812.0,3654023.0,Thursday,108.12134492034669,109.6537245040992,107.90969088836908,109.2896728515625,7632000.0,1.1683279312158135,1.7440336157301175,2602897.0
JNJ,2019-01-18,1479957.0,3273871.0,Friday,109.97541507691864,111.0590825416246,109.5944404541968,110.64424896240234,10593000.0,0.668833885483707,1.464642087427805,3654023.0
