SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,DIFF_O&C,DIFF_H&L,PREV_POST_MARKET_VOLUME
V,2019-01-03,232917.0,1629931.0,Thursday,125.84894006602072,125.91607234859556,122.65499037039082,122.89478302001952,9428300.0,-2.9541570460011997,3.261081978204743,1981021.0
V,2019-01-04,225930.0,4617385.0,Friday,125.11038897757956,129.09081937412887,124.81305752701334,128.18922424316406,11065800.0,3.0788352655845017,4.277761847115528,1629931.0
V,2019-01-07,208614.0,8191286.0,Monday,128.9565599392345,131.56542575116472,128.5633084477639,130.5007781982422,12928000.0,1.5442182590076925,3.002117303400837,4617385.0
V,2019-01-08,266547.0,2533952.0,Tuesday,132.33273440470293,132.54374667440237,130.404865542815,131.21054077148438,9243000.0,-1.1221936332185578,2.138881131587368,8191286.0
V,2019-01-09,273249.0,2258016.0,Wednesday,132.64925460590877,133.78103439932087,131.99703086291217,132.7547607421875,9987600.0,0.10550613627873417,1.7840035364087043,2533952.0
V,2019-01-10,200977.0,9591062.0,Thursday,131.2201315565053,133.14801512190195,130.78852085697963,133.00413513183594,12514900.0,1.7840035753306438,2.3594942649223185,2258016.0
V,2019-01-11,159728.0,1505585.0,Friday,132.12169019883066,132.93696601063326,131.7955857282425,132.4190216064453,5860100.0,0.2973314076146494,1.1413802823907702,9591062.0
V,2019-01-14,9081.0,5379066.0,Monday,131.39280012338253,132.48622085437395,131.06668088861548,131.49830627441406,8666700.0,0.10550615103153405,1.4195399657584744,1505585.0
V,2019-01-15,153952.0,2368864.0,Tuesday,131.3639908701154,132.09293294490595,129.7238529076693,131.72845458984375,7594900.0,0.3644637197283487,2.3690800372366425,5379066.0
V,2019-01-16,222801.0,2489826.0,Wednesday,132.74514196413952,133.19593951845314,131.46949699208955,131.72845458984375,7258000.0,-1.0166873742957705,1.7264425263635985,2368864.0
V,2019-01-17,123555.0,1331767.0,Thursday,131.37356701692582,132.2751620569461,131.00908868959863,131.6708984375,5864900.0,0.2973314205741815,1.2660733673474738,2489826.0
V,2019-01-18,15571.0,3605003.0,Friday,132.65885574786188,132.93701497283143,131.05709123261448,132.84109497070312,10263500.0,0.18223922284124683,1.8799237402169524,1331767.0
V,2019-01-22,248330.0,2883219.0,Tuesday,132.26554389056895,133.81936233125538,131.3831358878157,132.409423828125,8102300.0,0.14387993755605066,2.436226443439665,3605003.0
