Price,Close,High,Low,Open,Volume
Ticker,NFLX,NFLX,NFLX,NFLX,NFLX
Datetime,,,,,
2024-11-29 09:00:00+00:00,882.23,882.23,880.63,882.0,0
2024-11-29 09:05:00+00:00,882.9,882.99,882.57,882.57,0
2024-11-29 09:10:00+00:00,882.62,882.62,882.61,882.61,0
2024-11-29 09:15:00+00:00,883.72,883.72,883.53,883.53,0
2024-11-29 09:20:00+00:00,884.15,884.15,882.98,882.98,0
2024-11-29 09:25:00+00:00,883.18,883.18,883.18,883.18,0
2024-11-29 09:40:00+00:00,882.62,884.0,882.62,884.0,0
2024-11-29 09:45:00+00:00,881.99,882.61,881.99,882.61,0
2024-11-29 09:50:00+00:00,881.99,881.99,881.99,881.99,0
2024-11-29 09:55:00+00:00,881.5,881.6,881.5,881.6,0
2024-11-29 10:00:00+00:00,881.64,882.0,881.58,881.58,0
2024-11-29 10:05:00+00:00,881.85,881.97,881.85,881.97,0
2024-11-29 10:25:00+00:00,882.03,882.05,882.03,882.05,0
2024-11-29 10:30:00+00:00,882.03,882.69,882.03,882.69,0
2024-11-29 10:40:00+00:00,882.45,882.45,882.45,882.45,0
2024-11-29 10:45:00+00:00,882.94,882.94,882.64,882.64,0
2024-11-29 10:55:00+00:00,883.11,884.0,883.07,883.07,0
2024-11-29 11:00:00+00:00,883.04,883.04,883.04,883.04,0
2024-11-29 11:15:00+00:00,883.46,883.81,882.94,882.94,0
2024-11-29 12:00:00+00:00,881.82,883.58,881.82,883.58,0
2024-11-29 12:05:00+00:00,880.62,880.63,880.62,880.63,0
2024-11-29 12:10:00+00:00,880.6,880.61,880.6,880.61,0
2024-11-29 12:15:00+00:00,880.17,880.17,880.01,880.03,0
2024-11-29 12:20:00+00:00,879.51,880.24,879.51,880.24,0
2024-11-29 12:25:00+00:00,879.02,879.02,879.02,879.02,0
2024-11-29 13:00:00+00:00,879.57,884.9988,876.45,879.794,0
2024-11-29 13:05:00+00:00,879.99,880.0,877.34,877.34,0
2024-11-29 13:10:00+00:00,878.45,879.99,877.01,878.495,0
2024-11-29 13:15:00+00:00,878.45,879.0,877.9,878.45,0
2024-11-29 13:20:00+00:00,879.8899,879.8899,878.45,878.45,0
2024-11-29 13:25:00+00:00,877.98,878.45,877.8,877.8,0
2024-11-29 13:30:00+00:00,877.1,878.682,877.01,877.34,0
2024-11-29 13:35:00+00:00,878.45,879.0,876.63,877.1,0
2024-11-29 13:40:00+00:00,877.1,878.45,877.0,878.0,0
2024-11-29 13:45:00+00:00,878.58,878.6,877.1,877.1,0
2024-11-29 13:50:00+00:00,878.35,878.6,878.2,878.6,0
2024-11-29 13:55:00+00:00,878.5,879.0,878.0001,878.3,0
2024-11-29 14:00:00+00:00,878.5,878.99,878.5,878.5,0
2024-11-29 14:05:00+00:00,878.99,879.0,878.0,878.5,0
2024-11-29 14:10:00+00:00,879.6,880.07,878.5,878.5,0
2024-11-29 14:15:00+00:00,878.99,880.16,878.0,879.6,0
2024-11-29 14:20:00+00:00,878.65,879.3,878.0,878.0,0
2024-11-29 14:25:00+00:00,880.755,882.94,878.0,878.66,0
2024-11-29 14:30:00+00:00,880.0,882.1699829101562,876.6799926757812,882.1699829101562,116552
2024-11-29 14:35:00+00:00,881.9199829101562,883.3699951171875,879.5850219726562,879.5850219726562,54660
2024-11-29 14:40:00+00:00,883.889892578125,883.889892578125,880.3200073242188,881.6400146484375,49693
2024-11-29 14:45:00+00:00,881.1799926757812,883.5698852539062,880.3900146484375,883.3900146484375,38530
2024-11-29 14:50:00+00:00,883.9498901367188,884.2000122070312,881.010009765625,881.1799926757812,39742
2024-11-29 14:55:00+00:00,885.3900146484375,885.4000244140625,883.4400024414062,883.47998046875,30605
2024-11-29 15:00:00+00:00,885.8250122070312,887.2598876953125,885.0499877929688,885.5,54002
2024-11-29 15:05:00+00:00,887.9000244140625,888.1699829101562,885.5200805664062,885.5200805664062,52071
2024-11-29 15:10:00+00:00,887.9835815429688,889.4500122070312,887.3400268554688,887.9000244140625,37428
2024-11-29 15:15:00+00:00,889.0599975585938,889.0700073242188,887.6099853515625,887.8800048828125,21853
2024-11-29 15:20:00+00:00,888.489990234375,889.2883911132812,887.52001953125,889.0700073242188,24512
2024-11-29 15:25:00+00:00,887.8900146484375,888.5999755859375,886.8101196289062,888.5999755859375,33199
2024-11-29 15:30:00+00:00,891.9199829101562,891.9199829101562,888.6672973632812,888.7349853515625,60081
2024-11-29 15:35:00+00:00,891.0,891.4099731445312,890.010009765625,890.9600219726562,44581
