Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2024-11-29 09:00:00+00:00,235.19,235.35,235.0,235.35,0
2024-11-29 09:05:00+00:00,235.02,235.13,234.99,235.13,0
2024-11-29 09:10:00+00:00,235.02,235.03,234.95,235.03,0
2024-11-29 09:15:00+00:00,235.02,235.02,235.02,235.02,0
2024-11-29 09:20:00+00:00,235.14,235.23,235.04,235.04,0
2024-11-29 09:25:00+00:00,235.05,235.06,235.05,235.06,0
2024-11-29 09:30:00+00:00,235.12,235.12,235.03,235.04,0
2024-11-29 09:35:00+00:00,235.01,235.1,235.01,235.1,0
2024-11-29 09:40:00+00:00,235.06,235.06,235.0,235.01,0
2024-11-29 09:45:00+00:00,235.06,235.06,235.06,235.06,0
2024-11-29 09:50:00+00:00,235.06,235.07,235.06,235.06,0
2024-11-29 09:55:00+00:00,235.06,235.06,235.06,235.06,0
2024-11-29 10:00:00+00:00,234.94,235.0,234.93,235.0,0
2024-11-29 10:05:00+00:00,234.98,234.99,234.95,234.95,0
2024-11-29 10:10:00+00:00,234.89,234.91,234.76,234.9,0
2024-11-29 10:15:00+00:00,234.83,234.83,234.83,234.83,0
2024-11-29 10:25:00+00:00,234.83,234.87,234.83,234.84,0
2024-11-29 10:30:00+00:00,234.89,234.89,234.85,234.85,0
2024-11-29 10:35:00+00:00,234.76,234.85,234.76,234.85,0
2024-11-29 10:40:00+00:00,234.7,234.85,234.7,234.78,0
2024-11-29 10:45:00+00:00,234.78,234.78,234.78,234.78,0
2024-11-29 10:50:00+00:00,234.8,234.8,234.77,234.78,0
2024-11-29 11:00:00+00:00,234.77,234.77,234.75,234.75,0
2024-11-29 11:05:00+00:00,234.76,234.76,234.76,234.76,0
2024-11-29 11:10:00+00:00,234.65,234.65,234.65,234.65,0
2024-11-29 11:15:00+00:00,234.6,234.63,234.58,234.58,0
2024-11-29 11:20:00+00:00,234.59,234.59,234.59,234.59,0
2024-11-29 11:25:00+00:00,234.55,234.55,234.55,234.55,0
2024-11-29 11:30:00+00:00,234.58,234.59,234.57,234.59,0
2024-11-29 11:35:00+00:00,234.58,234.58,234.58,234.58,0
2024-11-29 11:40:00+00:00,234.55,234.58,234.55,234.58,0
2024-11-29 11:45:00+00:00,234.47,234.57,234.43,234.55,0
2024-11-29 11:50:00+00:00,234.44,234.45,234.43,234.44,0
2024-11-29 11:55:00+00:00,234.41,234.41,234.41,234.41,0
2024-11-29 12:00:00+00:00,234.57,234.57,234.43,234.45,0
2024-11-29 12:05:00+00:00,234.55,234.59,234.54,234.58,0
2024-11-29 12:10:00+00:00,234.52,234.52,234.52,234.52,0
2024-11-29 12:15:00+00:00,234.52,234.56,234.52,234.56,0
2024-11-29 12:25:00+00:00,234.7,234.7,234.6,234.6,0
2024-11-29 12:30:00+00:00,234.78,234.8,234.77,234.77,0
2024-11-29 12:35:00+00:00,234.65,234.74,234.65,234.74,0
2024-11-29 12:40:00+00:00,234.67,234.72,234.67,234.72,0
2024-11-29 12:45:00+00:00,234.57,234.66,234.57,234.66,0
2024-11-29 12:50:00+00:00,234.58,234.62,234.58,234.61,0
2024-11-29 12:55:00+00:00,234.63,234.63,234.52,234.6,0
2024-11-29 13:00:00+00:00,234.6,235.6488,234.4,235.5357,0
2024-11-29 13:05:00+00:00,234.57,234.93,234.55,234.6,0
2024-11-29 13:10:00+00:00,234.65,234.65,234.54,234.57,0
2024-11-29 13:15:00+00:00,234.555,234.65,234.51,234.605,0
2024-11-29 13:20:00+00:00,234.605,234.65,234.51,234.555,0
