,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
0,AAPL,2019-01-02,1448699.0,10818374.0,Wednesday
1,AAPL,2019-01-03,8702037.0,9788893.0,Thursday
2,AAPL,2019-01-04,3011205.0,9747041.0,Friday
3,AAPL,2019-01-07,1613404.0,6495477.0,Monday
4,AAPL,2019-01-08,1997698.0,5557865.0,Tuesday
5,AAPL,2019-01-09,2461012.0,4722655.0,Wednesday
6,AAPL,2019-01-10,1236504.0,6455076.0,Thursday
7,AAPL,2019-01-11,1006231.0,5753453.0,Friday
8,AAPL,2019-01-14,1069675.0,8301998.0,Monday
9,AAPL,2019-01-15,957658.0,4006406.0,Tuesday
10,AAPL,2019-01-16,1264303.0,5534190.0,Wednesday
11,AAPL,2019-01-17,880134.0,4115596.0,Thursday
12,AAPL,2019-01-18,6453058.0,7726390.0,Friday
13,AAPL,2019-01-22,1488058.0,8825472.0,Tuesday
14,AAPL,2019-01-23,934932.0,4310665.0,Wednesday
15,AAPL,2019-01-24,774337.0,6338001.0,Thursday
16,AAPL,2019-01-25,1607037.0,4758242.0,Friday
17,AAPL,2019-01-28,1798791.0,5134843.0,Monday
18,AAPL,2019-01-29,984088.0,11407065.0,Tuesday
19,AAPL,2019-01-30,4253500.0,6242726.0,Wednesday
20,AAPL,2019-01-31,1449220.0,13707745.0,Thursday
21,AAPL,2019-02-01,1048274.0,11333673.0,Friday
22,AAPL,2019-02-04,898836.0,6031820.0,Monday
23,AAPL,2019-02-05,1485416.0,5935761.0,Tuesday
24,AAPL,2019-02-06,1176148.0,3328893.0,Wednesday
25,AAPL,2019-02-07,1274018.0,4710559.0,Thursday
26,AAPL,2019-02-08,1167954.0,4405871.0,Friday
27,AAPL,2019-02-11,878625.0,4370842.0,Monday
28,AAPL,2019-02-12,953397.0,4779570.0,Tuesday
29,AAPL,2019-02-13,940459.0,4137107.0,Wednesday
30,AAPL,2019-02-14,1091089.0,4832593.0,Thursday
31,AAPL,2019-02-15,4805305.0,4834296.0,Friday
32,AAPL,2019-02-19,1296249.0,3459856.0,Tuesday
33,AAPL,2019-02-20,650643.0,4972436.0,Wednesday
34,AAPL,2019-02-21,742048.0,2638448.0,Thursday
35,AAPL,2019-02-22,735059.0,6588473.0,Friday
36,AAPL,2019-02-25,1289433.0,3451161.0,Monday
37,AAPL,2019-02-26,899822.0,4134967.0,Tuesday
38,AAPL,2019-02-27,802100.0,7171457.0,Wednesday
39,AAPL,2019-02-28,684056.0,13760852.0,Thursday
40,AAPL,2019-03-01,636224.0,8276485.0,Friday
41,AAPL,2019-03-04,1082949.0,4424598.0,Monday
42,AAPL,2019-03-05,567647.0,6887367.0,Tuesday
43,AAPL,2019-03-06,959297.0,5553142.0,Wednesday
44,AAPL,2019-03-07,682363.0,7455710.0,Thursday
45,AAPL,2019-03-08,1576893.0,6882384.0,Friday
46,AAPL,2019-03-11,1528409.0,7464721.0,Monday
47,AAPL,2019-03-12,1423486.0,7177312.0,Tuesday
48,AAPL,2019-03-13,1003491.0,12014870.0,Wednesday
49,AAPL,2019-03-14,1386189.0,6800117.0,Thursday
50,AAPL,2019-03-15,12168354.0,10578562.0,Friday
51,AAPL,2019-03-18,1070476.0,5345322.0,Monday
52,AAPL,2019-03-19,1218761.0,7803893.0,Tuesday
53,AAPL,2019-03-20,747585.0,6475277.0,Wednesday
54,AAPL,2019-03-21,2292908.0,12902356.0,Thursday
55,AAPL,2019-03-22,1637986.0,6072108.0,Friday
56,AAPL,2019-03-25,1785892.0,3787830.0,Monday
57,AAPL,2019-03-26,1890288.0,9305404.0,Tuesday
58,AAPL,2019-03-27,967077.0,5258457.0,Wednesday
59,AAPL,2019-03-28,572245.0,2225157.0,Thursday
60,AAPL,2019-03-29,1079401.0,9242402.0,Friday
61,AAPL,2019-04-01,1108489.0,8272536.0,Monday
62,AAPL,2019-04-02,639620.0,4165647.0,Tuesday
63,AAPL,2019-04-03,1158536.0,4803452.0,Wednesday
64,AAPL,2019-04-04,730299.0,3653102.0,Thursday
65,AAPL,2019-04-05,619337.0,4074006.0,Friday
66,AAPL,2019-04-08,786067.0,3359523.0,Monday
67,AAPL,2019-04-09,1716906.0,4412811.0,Tuesday
68,AAPL,2019-04-10,1367181.0,2210032.0,Wednesday
69,AAPL,2019-04-11,829134.0,4429810.0,Thursday
70,AAPL,2019-04-12,1041406.0,4326207.0,Friday
71,AAPL,2019-04-15,890951.0,4819083.0,Monday
72,AAPL,2019-04-16,1145822.0,2777628.0,Tuesday
73,AAPL,2019-04-17,1950943.0,3244632.0,Wednesday
74,AAPL,2019-04-18,4435856.0,6471153.0,Thursday
75,AAPL,2019-04-22,885237.0,8925809.0,Monday
76,AAPL,2019-04-23,997032.0,6205651.0,Tuesday
77,AAPL,2019-04-24,1038696.0,4117479.0,Wednesday
78,AAPL,2019-04-25,1062444.0,3832146.0,Thursday
79,AAPL,2019-04-26,1387884.0,4001546.0,Friday
80,AAPL,2019-04-29,1084552.0,3760627.0,Monday
81,AAPL,2019-04-30,1321619.0,13002876.0,Tuesday
