,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
82,ABBV,2019-01-02,6068.0,1813387.0,Wednesday
83,ABBV,2019-01-03,26265.0,3595305.0,Thursday
84,ABBV,2019-01-04,1638.0,4053329.0,Friday
85,ABBV,2019-01-07,75897.0,3494431.0,Monday
86,ABBV,2019-01-08,75628.0,2181035.0,Tuesday
87,ABBV,2019-01-09,65310.0,1891581.0,Wednesday
88,ABBV,2019-01-10,541.0,2000057.0,Thursday
89,ABBV,2019-01-11,64296.0,1184802.0,Friday
90,ABBV,2019-01-14,100275.0,2374140.0,Monday
91,ABBV,2019-01-15,1512.0,1416258.0,Tuesday
92,ABBV,2019-01-16,12470.0,2180956.0,Wednesday
93,ABBV,2019-01-17,61261.0,2528495.0,Thursday
94,ABBV,2019-01-18,5216.0,1442505.0,Friday
95,ABBV,2019-01-22,81194.0,1475717.0,Tuesday
96,ABBV,2019-01-23,1290.0,1675722.0,Wednesday
97,ABBV,2019-01-24,773.0,2089201.0,Thursday
98,ABBV,2019-01-25,745797.0,3258386.0,Friday
99,ABBV,2019-01-28,64543.0,2239482.0,Monday
100,ABBV,2019-01-29,56992.0,1758003.0,Tuesday
101,ABBV,2019-01-30,6429.0,1740863.0,Wednesday
102,ABBV,2019-01-31,121694.0,5892547.0,Thursday
103,ABBV,2019-02-01,46175.0,1300346.0,Friday
104,ABBV,2019-02-04,90509.0,2090006.0,Monday
105,ABBV,2019-02-05,2876.0,3433696.0,Tuesday
106,ABBV,2019-02-06,87071.0,1871377.0,Wednesday
107,ABBV,2019-02-07,6994.0,1706935.0,Thursday
108,ABBV,2019-02-08,7193.0,1938930.0,Friday
109,ABBV,2019-02-11,4962.0,2502942.0,Monday
110,ABBV,2019-02-12,5837.0,2201593.0,Tuesday
111,ABBV,2019-02-13,73682.0,1074604.0,Wednesday
112,ABBV,2019-02-14,1866.0,1011826.0,Thursday
113,ABBV,2019-02-15,5280.0,1449026.0,Friday
114,ABBV,2019-02-19,195722.0,1195781.0,Tuesday
115,ABBV,2019-02-20,3655.0,1623065.0,Wednesday
116,ABBV,2019-02-21,1444.0,1332356.0,Thursday
117,ABBV,2019-02-22,102912.0,1256127.0,Friday
118,ABBV,2019-02-25,96157.0,1951348.0,Monday
119,ABBV,2019-02-26,2849.0,1584733.0,Tuesday
120,ABBV,2019-02-27,53479.0,1406055.0,Wednesday
121,ABBV,2019-02-28,82384.0,2841963.0,Thursday
122,ABBV,2019-03-01,4147.0,1776295.0,Friday
123,ABBV,2019-03-04,71655.0,2176369.0,Monday
124,ABBV,2019-03-05,9264.0,2485206.0,Tuesday
125,ABBV,2019-03-06,3322.0,996744.0,Wednesday
126,ABBV,2019-03-07,58567.0,2651341.0,Thursday
127,ABBV,2019-03-08,150086.0,2362357.0,Friday
128,ABBV,2019-03-11,85305.0,4153846.0,Monday
129,ABBV,2019-03-12,63599.0,1697559.0,Tuesday
130,ABBV,2019-03-13,55427.0,2346099.0,Wednesday
131,ABBV,2019-03-14,648.0,1957480.0,Thursday
132,ABBV,2019-03-15,2874.0,9325189.0,Friday
133,ABBV,2019-03-18,98010.0,2057427.0,Monday
134,ABBV,2019-03-19,175870.0,2761011.0,Tuesday
135,ABBV,2019-03-20,5459.0,2662060.0,Wednesday
136,ABBV,2019-03-21,89011.0,1350512.0,Thursday
137,ABBV,2019-03-22,94364.0,1839236.0,Friday
138,ABBV,2019-03-25,12602.0,989501.0,Monday
139,ABBV,2019-03-26,3429.0,1256719.0,Tuesday
140,ABBV,2019-03-27,1736.0,1009262.0,Wednesday
141,ABBV,2019-03-28,3231.0,977344.0,Thursday
142,ABBV,2019-03-29,3073.0,3267167.0,Friday
143,ABBV,2019-04-01,6527.0,1246639.0,Monday
144,ABBV,2019-04-02,5528.0,1422310.0,Tuesday
145,ABBV,2019-04-03,128901.0,2624035.0,Wednesday
146,ABBV,2019-04-04,90940.0,1990776.0,Thursday
147,ABBV,2019-04-05,63858.0,1299261.0,Friday
148,ABBV,2019-04-08,76160.0,1197549.0,Monday
149,ABBV,2019-04-09,4956.0,1146235.0,Tuesday
150,ABBV,2019-04-10,615.0,1307253.0,Wednesday
151,ABBV,2019-04-11,7271.0,1747831.0,Thursday
152,ABBV,2019-04-12,14987.0,1702658.0,Friday
153,ABBV,2019-04-15,6624.0,1538792.0,Monday
154,ABBV,2019-04-16,84367.0,957409.0,Tuesday
155,ABBV,2019-04-17,132918.0,1530592.0,Wednesday
156,ABBV,2019-04-18,8421.0,1221039.0,Thursday
157,ABBV,2019-04-22,86083.0,909316.0,Monday
158,ABBV,2019-04-23,1536.0,1933276.0,Tuesday
159,ABBV,2019-04-24,98779.0,1820192.0,Wednesday
160,ABBV,2019-04-25,295390.0,1350404.0,Thursday
161,ABBV,2019-04-26,83507.0,1358902.0,Friday
162,ABBV,2019-04-29,6710.0,2692723.0,Monday
163,ABBV,2019-04-30,5596.0,8942078.0,Tuesday
