,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
164,AMZN,2019-01-02,312186.0,928135.0,Wednesday
165,AMZN,2019-01-03,323514.0,608604.0,Thursday
166,AMZN,2019-01-04,296646.0,974605.0,Friday
167,AMZN,2019-01-07,407162.0,747848.0,Monday
168,AMZN,2019-01-08,531696.0,601194.0,Tuesday
169,AMZN,2019-01-09,354324.0,608856.0,Wednesday
170,AMZN,2019-01-10,308872.0,515503.0,Thursday
171,AMZN,2019-01-11,241210.0,571306.0,Friday
172,AMZN,2019-01-14,273175.0,880425.0,Monday
173,AMZN,2019-01-15,189483.0,553821.0,Tuesday
174,AMZN,2019-01-16,272477.0,775873.0,Wednesday
175,AMZN,2019-01-17,150285.0,426629.0,Thursday
176,AMZN,2019-01-18,793594.0,660998.0,Friday
177,AMZN,2019-01-22,254079.0,802592.0,Tuesday
178,AMZN,2019-01-23,268248.0,452647.0,Wednesday
179,AMZN,2019-01-24,165549.0,766446.0,Thursday
180,AMZN,2019-01-25,216150.0,875525.0,Friday
181,AMZN,2019-01-28,304051.0,556205.0,Monday
182,AMZN,2019-01-29,170554.0,554081.0,Tuesday
183,AMZN,2019-01-30,215751.0,656915.0,Wednesday
184,AMZN,2019-01-31,368873.0,3380214.0,Thursday
185,AMZN,2019-02-01,869461.0,878558.0,Friday
186,AMZN,2019-02-04,227086.0,677704.0,Monday
187,AMZN,2019-02-05,192726.0,809463.0,Tuesday
188,AMZN,2019-02-06,217844.0,320150.0,Wednesday
189,AMZN,2019-02-07,191923.0,682227.0,Thursday
190,AMZN,2019-02-08,354467.0,486032.0,Friday
191,AMZN,2019-02-11,264332.0,330325.0,Monday
192,AMZN,2019-02-12,180951.0,484413.0,Tuesday
193,AMZN,2019-02-13,232021.0,408024.0,Wednesday
194,AMZN,2019-02-14,242951.0,402222.0,Thursday
195,AMZN,2019-02-15,485003.0,546957.0,Friday
196,AMZN,2019-02-19,184264.0,365946.0,Tuesday
197,AMZN,2019-02-20,143785.0,375841.0,Wednesday
198,AMZN,2019-02-21,125066.0,269946.0,Thursday
199,AMZN,2019-02-22,122389.0,611994.0,Friday
200,AMZN,2019-02-25,228519.0,469311.0,Monday
201,AMZN,2019-02-26,128383.0,431693.0,Tuesday
202,AMZN,2019-02-27,108050.0,425396.0,Wednesday
203,AMZN,2019-02-28,123652.0,894255.0,Thursday
204,AMZN,2019-03-01,182937.0,806487.0,Friday
205,AMZN,2019-03-04,351253.0,579916.0,Monday
206,AMZN,2019-03-05,186958.0,353405.0,Tuesday
207,AMZN,2019-03-06,127008.0,369182.0,Wednesday
208,AMZN,2019-03-07,134593.0,969784.0,Thursday
209,AMZN,2019-03-08,383048.0,554157.0,Friday
210,AMZN,2019-03-11,144090.0,544990.0,Monday
211,AMZN,2019-03-12,181624.0,673993.0,Tuesday
212,AMZN,2019-03-13,152391.0,393743.0,Wednesday
213,AMZN,2019-03-14,130497.0,548927.0,Thursday
214,AMZN,2019-03-15,1385397.0,2857506.0,Friday
215,AMZN,2019-03-18,167890.0,809733.0,Monday
216,AMZN,2019-03-19,299988.0,809165.0,Tuesday
217,AMZN,2019-03-20,231838.0,763407.0,Wednesday
218,AMZN,2019-03-21,239516.0,763878.0,Thursday
219,AMZN,2019-03-22,215312.0,723480.0,Friday
220,AMZN,2019-03-25,266231.0,396181.0,Monday
221,AMZN,2019-03-26,225424.0,490038.0,Tuesday
222,AMZN,2019-03-27,108494.0,442102.0,Wednesday
223,AMZN,2019-03-28,137616.0,288632.0,Thursday
224,AMZN,2019-03-29,172979.0,936957.0,Friday
225,AMZN,2019-04-01,337802.0,636999.0,Monday
226,AMZN,2019-04-02,187403.0,431729.0,Tuesday
227,AMZN,2019-04-03,247518.0,383958.0,Wednesday
228,AMZN,2019-04-04,120971.0,458293.0,Thursday
229,AMZN,2019-04-05,265356.0,501357.0,Friday
230,AMZN,2019-04-08,153294.0,450645.0,Monday
231,AMZN,2019-04-09,176531.0,476969.0,Tuesday
232,AMZN,2019-04-10,172235.0,246780.0,Wednesday
233,AMZN,2019-04-11,143430.0,337680.0,Thursday
234,AMZN,2019-04-12,170090.0,621912.0,Friday
235,AMZN,2019-04-15,95615.0,611584.0,Monday
236,AMZN,2019-04-16,138874.0,308687.0,Tuesday
237,AMZN,2019-04-17,164720.0,345938.0,Wednesday
238,AMZN,2019-04-18,449356.0,340005.0,Thursday
239,AMZN,2019-04-22,120752.0,224901.0,Monday
240,AMZN,2019-04-23,211882.0,610481.0,Tuesday
241,AMZN,2019-04-24,211769.0,796202.0,Wednesday
242,AMZN,2019-04-25,228136.0,2027002.0,Thursday
243,AMZN,2019-04-26,646908.0,618340.0,Friday
244,AMZN,2019-04-29,201368.0,609166.0,Monday
245,AMZN,2019-04-30,144476.0,583159.0,Tuesday
