,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
246,AYX,2019-01-02,10660.0,248573.0,Wednesday
247,AYX,2019-01-03,9422.0,88315.0,Thursday
248,AYX,2019-01-04,6485.0,179134.0,Friday
249,AYX,2019-01-07,14127.0,147861.0,Monday
250,AYX,2019-01-08,39129.0,154371.0,Tuesday
251,AYX,2019-01-09,8669.0,82106.0,Wednesday
252,AYX,2019-01-10,4444.0,98739.0,Thursday
253,AYX,2019-01-11,17435.0,91026.0,Friday
254,AYX,2019-01-14,21371.0,76959.0,Monday
255,AYX,2019-01-15,5489.0,85476.0,Tuesday
256,AYX,2019-01-16,13302.0,77769.0,Wednesday
257,AYX,2019-01-17,4028.0,65183.0,Thursday
258,AYX,2019-01-18,20910.0,94238.0,Friday
259,AYX,2019-01-22,18840.0,433854.0,Tuesday
260,AYX,2019-01-23,18347.0,82885.0,Wednesday
261,AYX,2019-01-24,467.0,695616.0,Thursday
262,AYX,2019-01-25,178709.0,103144.0,Friday
263,AYX,2019-01-28,13498.0,58698.0,Monday
264,AYX,2019-01-29,23735.0,117522.0,Tuesday
265,AYX,2019-01-30,11615.0,71485.0,Wednesday
266,AYX,2019-01-31,12827.0,114698.0,Thursday
267,AYX,2019-02-01,11509.0,215998.0,Friday
268,AYX,2019-02-04,8989.0,200266.0,Monday
269,AYX,2019-02-05,8703.0,66959.0,Tuesday
270,AYX,2019-02-06,6230.0,85670.0,Wednesday
271,AYX,2019-02-07,27358.0,57391.0,Thursday
272,AYX,2019-02-08,7938.0,78995.0,Friday
273,AYX,2019-02-11,23484.0,421968.0,Monday
274,AYX,2019-02-12,6435.0,61497.0,Tuesday
275,AYX,2019-02-13,6508.0,373001.0,Wednesday
276,AYX,2019-02-14,12882.0,43597.0,Thursday
277,AYX,2019-02-15,17223.0,116065.0,Friday
278,AYX,2019-02-19,12184.0,63307.0,Tuesday
279,AYX,2019-02-20,7906.0,65371.0,Wednesday
280,AYX,2019-02-21,4170.0,66172.0,Thursday
281,AYX,2019-02-22,30860.0,58456.0,Friday
282,AYX,2019-02-25,21286.0,151820.0,Monday
283,AYX,2019-02-26,111482.0,344663.0,Tuesday
284,AYX,2019-02-27,15024.0,544161.0,Wednesday
285,AYX,2019-02-28,157282.0,71948.0,Thursday
286,AYX,2019-03-01,56494.0,107505.0,Friday
287,AYX,2019-03-04,25396.0,193477.0,Monday
288,AYX,2019-03-05,44019.0,240272.0,Tuesday
289,AYX,2019-03-06,23646.0,75102.0,Wednesday
290,AYX,2019-03-07,19273.0,99244.0,Thursday
291,AYX,2019-03-08,36277.0,70846.0,Friday
292,AYX,2019-03-11,8143.0,59296.0,Monday
293,AYX,2019-03-12,10572.0,44244.0,Tuesday
294,AYX,2019-03-13,14783.0,112665.0,Wednesday
295,AYX,2019-03-14,54619.0,75948.0,Thursday
296,AYX,2019-03-15,87432.0,202463.0,Friday
297,AYX,2019-03-18,8026.0,146318.0,Monday
298,AYX,2019-03-19,8135.0,105734.0,Tuesday
299,AYX,2019-03-20,7049.0,180452.0,Wednesday
300,AYX,2019-03-21,9005.0,120584.0,Thursday
301,AYX,2019-03-22,21100.0,104400.0,Friday
302,AYX,2019-03-25,47818.0,334953.0,Monday
303,AYX,2019-03-26,38578.0,439728.0,Tuesday
304,AYX,2019-03-27,10595.0,294133.0,Wednesday
305,AYX,2019-03-28,10321.0,165570.0,Thursday
306,AYX,2019-03-29,18547.0,266214.0,Friday
307,AYX,2019-04-01,18873.0,90377.0,Monday
308,AYX,2019-04-02,6281.0,148288.0,Tuesday
309,AYX,2019-04-03,11487.0,47756.0,Wednesday
310,AYX,2019-04-04,5711.0,131552.0,Thursday
311,AYX,2019-04-05,13348.0,373702.0,Friday
312,AYX,2019-04-08,8615.0,50751.0,Monday
313,AYX,2019-04-09,9076.0,111548.0,Tuesday
314,AYX,2019-04-10,6121.0,173920.0,Wednesday
315,AYX,2019-04-11,5838.0,165140.0,Thursday
316,AYX,2019-04-12,13678.0,377319.0,Friday
317,AYX,2019-04-15,5072.0,103027.0,Monday
318,AYX,2019-04-16,7658.0,64807.0,Tuesday
319,AYX,2019-04-17,5839.0,119645.0,Wednesday
320,AYX,2019-04-18,8116.0,154816.0,Thursday
321,AYX,2019-04-22,12813.0,97467.0,Monday
322,AYX,2019-04-23,9528.0,153372.0,Tuesday
323,AYX,2019-04-24,9299.0,122090.0,Wednesday
324,AYX,2019-04-25,12443.0,504003.0,Thursday
325,AYX,2019-04-26,6115.0,45485.0,Friday
326,AYX,2019-04-29,33206.0,346847.0,Monday
327,AYX,2019-04-30,10715.0,184060.0,Tuesday
