,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
410,BABA,2019-01-02,550777.0,1890014.0,Wednesday
411,BABA,2019-01-03,443031.0,1722258.0,Thursday
412,BABA,2019-01-04,957115.0,1700278.0,Friday
413,BABA,2019-01-07,489401.0,1930611.0,Monday
414,BABA,2019-01-08,262393.0,1849417.0,Tuesday
415,BABA,2019-01-09,671883.0,1910673.0,Wednesday
416,BABA,2019-01-10,590128.0,2513679.0,Thursday
417,BABA,2019-01-11,465277.0,1779478.0,Friday
418,BABA,2019-01-14,180098.0,1914167.0,Monday
419,BABA,2019-01-15,150276.0,2998449.0,Tuesday
420,BABA,2019-01-16,338157.0,2078253.0,Wednesday
421,BABA,2019-01-17,170988.0,1402390.0,Thursday
422,BABA,2019-01-18,693521.0,4736556.0,Friday
423,BABA,2019-01-22,840312.0,3683715.0,Tuesday
424,BABA,2019-01-23,438463.0,3131462.0,Wednesday
425,BABA,2019-01-24,446689.0,2345402.0,Thursday
426,BABA,2019-01-25,1042470.0,1755293.0,Friday
427,BABA,2019-01-28,446862.0,1644132.0,Monday
428,BABA,2019-01-29,640392.0,6633245.0,Tuesday
429,BABA,2019-01-30,2657972.0,3146125.0,Wednesday
430,BABA,2019-01-31,1091547.0,3675227.0,Thursday
431,BABA,2019-02-01,169281.0,1396266.0,Friday
432,BABA,2019-02-04,334490.0,903894.0,Monday
433,BABA,2019-02-05,283086.0,733827.0,Tuesday
434,BABA,2019-02-06,184461.0,2062398.0,Wednesday
435,BABA,2019-02-07,433024.0,837890.0,Thursday
436,BABA,2019-02-08,182911.0,866760.0,Friday
437,BABA,2019-02-11,409651.0,776952.0,Monday
438,BABA,2019-02-12,330873.0,1101045.0,Tuesday
439,BABA,2019-02-13,564515.0,1029465.0,Wednesday
440,BABA,2019-02-14,471432.0,1589628.0,Thursday
441,BABA,2019-02-15,176982.0,2580824.0,Friday
442,BABA,2019-02-19,482265.0,1791053.0,Tuesday
443,BABA,2019-02-20,408669.0,1210338.0,Wednesday
444,BABA,2019-02-21,81680.0,1161863.0,Thursday
445,BABA,2019-02-22,129427.0,2459434.0,Friday
446,BABA,2019-02-25,522444.0,1196348.0,Monday
447,BABA,2019-02-26,1006262.0,1388566.0,Tuesday
448,BABA,2019-02-27,512599.0,4848542.0,Wednesday
449,BABA,2019-02-28,749740.0,2759672.0,Thursday
450,BABA,2019-03-01,926524.0,1296838.0,Friday
451,BABA,2019-03-04,237618.0,1751002.0,Monday
452,BABA,2019-03-05,113543.0,1476184.0,Tuesday
453,BABA,2019-03-06,557179.0,986747.0,Wednesday
454,BABA,2019-03-07,636209.0,2402899.0,Thursday
455,BABA,2019-03-08,534276.0,1526311.0,Friday
456,BABA,2019-03-11,235635.0,2075675.0,Monday
457,BABA,2019-03-12,150270.0,1236167.0,Tuesday
458,BABA,2019-03-13,288475.0,2090625.0,Wednesday
459,BABA,2019-03-14,345303.0,1472280.0,Thursday
460,BABA,2019-03-15,350031.0,4524544.0,Friday
461,BABA,2019-03-18,176689.0,2372777.0,Monday
462,BABA,2019-03-19,333469.0,1328665.0,Tuesday
463,BABA,2019-03-20,3939209.0,4720602.0,Wednesday
464,BABA,2019-03-21,455190.0,2349372.0,Thursday
465,BABA,2019-03-22,346118.0,1539468.0,Friday
466,BABA,2019-03-25,454865.0,1194379.0,Monday
467,BABA,2019-03-26,284667.0,1311614.0,Tuesday
468,BABA,2019-03-27,219962.0,1745662.0,Wednesday
469,BABA,2019-03-28,245159.0,841319.0,Thursday
470,BABA,2019-03-29,602710.0,3239647.0,Friday
471,BABA,2019-04-01,293791.0,1281701.0,Monday
472,BABA,2019-04-02,343590.0,1280292.0,Tuesday
473,BABA,2019-04-03,1239732.0,1094708.0,Wednesday
474,BABA,2019-04-04,918202.0,1284080.0,Thursday
475,BABA,2019-04-05,328946.0,1466076.0,Friday
476,BABA,2019-04-08,419619.0,1711893.0,Monday
477,BABA,2019-04-09,230381.0,1599936.0,Tuesday
478,BABA,2019-04-10,45133.0,1498976.0,Wednesday
479,BABA,2019-04-11,242849.0,1967493.0,Thursday
480,BABA,2019-04-12,797530.0,916365.0,Friday
481,BABA,2019-04-15,119028.0,2176950.0,Monday
482,BABA,2019-04-16,441881.0,5584035.0,Tuesday
483,BABA,2019-04-17,162747.0,1719477.0,Wednesday
484,BABA,2019-04-18,58116.0,2492054.0,Thursday
485,BABA,2019-04-22,113740.0,3756237.0,Monday
486,BABA,2019-04-23,427853.0,3217524.0,Tuesday
487,BABA,2019-04-24,274769.0,1869947.0,Wednesday
488,BABA,2019-04-25,363745.0,1064318.0,Thursday
489,BABA,2019-04-26,386572.0,1234370.0,Friday
490,BABA,2019-04-29,180996.0,3106289.0,Monday
491,BABA,2019-04-30,231181.0,3232483.0,Tuesday
