,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
492,BAC,2019-01-02,1738845.0,19803143.0,Wednesday
493,BAC,2019-01-03,1199761.0,13226138.0,Thursday
494,BAC,2019-01-04,1816500.0,12348619.0,Friday
495,BAC,2019-01-07,860284.0,12900288.0,Monday
496,BAC,2019-01-08,1048323.0,12864816.0,Tuesday
497,BAC,2019-01-09,1283160.0,10660004.0,Wednesday
498,BAC,2019-01-10,794902.0,22248195.0,Thursday
499,BAC,2019-01-11,983335.0,12087547.0,Friday
500,BAC,2019-01-14,1141885.0,28030112.0,Monday
501,BAC,2019-01-15,1322356.0,17541646.0,Tuesday
502,BAC,2019-01-16,8607029.0,28494264.0,Wednesday
503,BAC,2019-01-17,1937100.0,13453850.0,Thursday
504,BAC,2019-01-18,6615133.0,15672498.0,Friday
505,BAC,2019-01-22,2347557.0,12294466.0,Tuesday
506,BAC,2019-01-23,897934.0,10394137.0,Wednesday
507,BAC,2019-01-24,1499650.0,14482982.0,Thursday
508,BAC,2019-01-25,1391499.0,10093212.0,Friday
509,BAC,2019-01-28,891604.0,9986409.0,Monday
510,BAC,2019-01-29,709820.0,7186742.0,Tuesday
511,BAC,2019-01-30,759508.0,7042486.0,Wednesday
512,BAC,2019-01-31,2054016.0,14445712.0,Thursday
513,BAC,2019-02-01,1372645.0,17838730.0,Friday
514,BAC,2019-02-04,877530.0,9791102.0,Monday
515,BAC,2019-02-05,592516.0,10492624.0,Tuesday
516,BAC,2019-02-06,641273.0,6352689.0,Wednesday
517,BAC,2019-02-07,459255.0,11694676.0,Thursday
518,BAC,2019-02-08,812449.0,8822961.0,Friday
519,BAC,2019-02-11,705781.0,15755952.0,Monday
520,BAC,2019-02-12,959595.0,8147958.0,Tuesday
521,BAC,2019-02-13,922683.0,16843864.0,Wednesday
522,BAC,2019-02-14,1272393.0,10460215.0,Thursday
523,BAC,2019-02-15,2867399.0,16698955.0,Friday
524,BAC,2019-02-19,1042459.0,5586143.0,Tuesday
525,BAC,2019-02-20,726786.0,9240211.0,Wednesday
526,BAC,2019-02-21,1182741.0,7269009.0,Thursday
527,BAC,2019-02-22,2903096.0,8733446.0,Friday
528,BAC,2019-02-25,1310934.0,19120797.0,Monday
529,BAC,2019-02-26,198122.0,11060144.0,Tuesday
530,BAC,2019-02-27,1008050.0,8958507.0,Wednesday
531,BAC,2019-02-28,1237086.0,26329032.0,Thursday
532,BAC,2019-03-01,861561.0,8516818.0,Friday
533,BAC,2019-03-04,902332.0,11380011.0,Monday
534,BAC,2019-03-05,653074.0,7036743.0,Tuesday
535,BAC,2019-03-06,177302.0,7241733.0,Wednesday
536,BAC,2019-03-07,864377.0,11229962.0,Thursday
537,BAC,2019-03-08,2012526.0,5610227.0,Friday
538,BAC,2019-03-11,712036.0,8119926.0,Monday
539,BAC,2019-03-12,689906.0,8680874.0,Tuesday
540,BAC,2019-03-13,702951.0,10899026.0,Wednesday
541,BAC,2019-03-14,548198.0,9932930.0,Thursday
542,BAC,2019-03-15,260250.0,51172570.0,Friday
543,BAC,2019-03-18,648422.0,19031915.0,Monday
544,BAC,2019-03-19,2641774.0,15009687.0,Tuesday
545,BAC,2019-03-20,1057075.0,19252428.0,Wednesday
546,BAC,2019-03-21,1759792.0,7901947.0,Thursday
547,BAC,2019-03-22,1904383.0,16091981.0,Friday
548,BAC,2019-03-25,1935549.0,6463829.0,Monday
549,BAC,2019-03-26,1963729.0,8754651.0,Tuesday
550,BAC,2019-03-27,1276875.0,9372350.0,Wednesday
551,BAC,2019-03-28,1389215.0,6129335.0,Thursday
552,BAC,2019-03-29,1222417.0,22006950.0,Friday
553,BAC,2019-04-01,1318321.0,14240588.0,Monday
554,BAC,2019-04-02,1041154.0,12480305.0,Tuesday
555,BAC,2019-04-03,1729687.0,13460423.0,Wednesday
556,BAC,2019-04-04,1000149.0,9147406.0,Thursday
557,BAC,2019-04-05,364270.0,9626922.0,Friday
558,BAC,2019-04-08,667080.0,7605598.0,Monday
559,BAC,2019-04-09,933998.0,6951114.0,Tuesday
560,BAC,2019-04-10,686761.0,6366660.0,Wednesday
561,BAC,2019-04-11,1006593.0,10277430.0,Thursday
562,BAC,2019-04-12,2543407.0,10768381.0,Friday
563,BAC,2019-04-15,1580463.0,6716816.0,Monday
564,BAC,2019-04-16,5759757.0,7510150.0,Tuesday
565,BAC,2019-04-17,1349474.0,9114755.0,Wednesday
566,BAC,2019-04-18,2950052.0,18685530.0,Thursday
567,BAC,2019-04-22,619827.0,7757044.0,Monday
568,BAC,2019-04-23,863094.0,7256275.0,Tuesday
569,BAC,2019-04-24,1277295.0,10165703.0,Wednesday
570,BAC,2019-04-25,789162.0,7113926.0,Thursday
571,BAC,2019-04-26,845244.0,7982267.0,Friday
572,BAC,2019-04-29,1593996.0,8908595.0,Monday
573,BAC,2019-04-30,1478860.0,13412148.0,Tuesday
