,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
328,BA,2019-01-02,96165.0,1073636.0,Wednesday
329,BA,2019-01-03,111876.0,1250723.0,Thursday
330,BA,2019-01-04,106006.0,1330134.0,Friday
331,BA,2019-01-07,23240.0,1366162.0,Monday
332,BA,2019-01-08,114151.0,1043240.0,Tuesday
333,BA,2019-01-09,118443.0,962817.0,Wednesday
334,BA,2019-01-10,158637.0,1081038.0,Thursday
335,BA,2019-01-11,122260.0,573837.0,Friday
336,BA,2019-01-14,79350.0,695613.0,Monday
337,BA,2019-01-15,49485.0,609136.0,Tuesday
338,BA,2019-01-16,51662.0,1101419.0,Wednesday
339,BA,2019-01-17,75209.0,1058621.0,Thursday
340,BA,2019-01-18,371606.0,571625.0,Friday
341,BA,2019-01-22,102288.0,1139936.0,Tuesday
342,BA,2019-01-23,83545.0,659242.0,Wednesday
343,BA,2019-01-24,62788.0,880072.0,Thursday
344,BA,2019-01-25,62868.0,542512.0,Friday
345,BA,2019-01-28,94610.0,1263848.0,Monday
346,BA,2019-01-29,64985.0,418278.0,Tuesday
347,BA,2019-01-30,781259.0,715153.0,Wednesday
348,BA,2019-01-31,109617.0,2577198.0,Thursday
349,BA,2019-02-01,89617.0,2466082.0,Friday
350,BA,2019-02-04,73268.0,1049276.0,Monday
351,BA,2019-02-05,267013.0,2087370.0,Tuesday
352,BA,2019-02-06,75867.0,1086670.0,Wednesday
353,BA,2019-02-07,124887.0,917997.0,Thursday
354,BA,2019-02-08,168667.0,1276518.0,Friday
355,BA,2019-02-11,157152.0,545508.0,Monday
356,BA,2019-02-12,102937.0,806221.0,Tuesday
357,BA,2019-02-13,100452.0,580083.0,Wednesday
358,BA,2019-02-14,100491.0,1098045.0,Thursday
359,BA,2019-02-15,180734.0,806989.0,Friday
360,BA,2019-02-19,124383.0,540534.0,Tuesday
361,BA,2019-02-20,72885.0,861486.0,Wednesday
362,BA,2019-02-21,68704.0,608914.0,Thursday
363,BA,2019-02-22,73024.0,551792.0,Friday
364,BA,2019-02-25,161475.0,458867.0,Monday
365,BA,2019-02-26,77315.0,555373.0,Tuesday
366,BA,2019-02-27,72506.0,549375.0,Wednesday
367,BA,2019-02-28,138204.0,955672.0,Thursday
368,BA,2019-03-01,243575.0,1206605.0,Friday
369,BA,2019-03-04,117093.0,934877.0,Monday
370,BA,2019-03-05,80668.0,856985.0,Tuesday
371,BA,2019-03-06,75823.0,874266.0,Wednesday
372,BA,2019-03-07,74842.0,1322673.0,Thursday
373,BA,2019-03-08,165871.0,1098089.0,Friday
374,BA,2019-03-11,2943785.0,977591.0,Monday
375,BA,2019-03-12,1214760.0,1273810.0,Tuesday
376,BA,2019-03-13,1178567.0,1779664.0,Wednesday
377,BA,2019-03-14,633191.0,841681.0,Thursday
378,BA,2019-03-15,1119307.0,4705461.0,Friday
379,BA,2019-03-18,794567.0,1281277.0,Monday
380,BA,2019-03-19,223986.0,1596286.0,Tuesday
381,BA,2019-03-20,163792.0,1026654.0,Wednesday
382,BA,2019-03-21,70187.0,672835.0,Thursday
383,BA,2019-03-22,466212.0,754195.0,Friday
384,BA,2019-03-25,271940.0,462736.0,Monday
385,BA,2019-03-26,337747.0,912970.0,Tuesday
386,BA,2019-03-27,218789.0,794288.0,Wednesday
387,BA,2019-03-28,175145.0,575967.0,Thursday
388,BA,2019-03-29,176488.0,1381752.0,Friday
389,BA,2019-04-01,298288.0,815214.0,Monday
390,BA,2019-04-02,246160.0,627393.0,Tuesday
391,BA,2019-04-03,187676.0,992186.0,Wednesday
392,BA,2019-04-04,280576.0,748463.0,Thursday
393,BA,2019-04-05,260650.0,1846780.0,Friday
394,BA,2019-04-08,1077440.0,1294941.0,Monday
395,BA,2019-04-09,484302.0,527193.0,Tuesday
396,BA,2019-04-10,169688.0,681802.0,Wednesday
397,BA,2019-04-11,144020.0,622882.0,Thursday
398,BA,2019-04-12,259604.0,719589.0,Friday
399,BA,2019-04-15,188603.0,806444.0,Monday
400,BA,2019-04-16,87009.0,525911.0,Tuesday
401,BA,2019-04-17,213557.0,680261.0,Wednesday
402,BA,2019-04-18,174515.0,858113.0,Thursday
403,BA,2019-04-22,189601.0,460071.0,Monday
404,BA,2019-04-23,129276.0,476786.0,Tuesday
405,BA,2019-04-24,552998.0,724602.0,Wednesday
406,BA,2019-04-25,125109.0,645415.0,Thursday
407,BA,2019-04-26,77092.0,780329.0,Friday
408,BA,2019-04-29,135979.0,706496.0,Monday
409,BA,2019-04-30,68679.0,1136737.0,Tuesday
