,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
574,BRK,2019-01-02,190158.0,1968889.0,Wednesday
575,BRK,2019-01-03,37069.0,2341482.0,Thursday
576,BRK,2019-01-04,44561.0,2445548.0,Friday
577,BRK,2019-01-07,128413.0,3082673.0,Monday
578,BRK,2019-01-08,9138.0,1863537.0,Tuesday
579,BRK,2019-01-09,3956.0,1086313.0,Wednesday
580,BRK,2019-01-10,4413.0,1554581.0,Thursday
581,BRK,2019-01-11,110835.0,1351253.0,Friday
582,BRK,2019-01-14,72123.0,2677763.0,Monday
583,BRK,2019-01-15,68326.0,799787.0,Tuesday
584,BRK,2019-01-16,142854.0,1628923.0,Wednesday
585,BRK,2019-01-17,76112.0,1979151.0,Thursday
586,BRK,2019-01-18,14018.0,1584726.0,Friday
587,BRK,2019-01-22,10101.0,2992958.0,Tuesday
588,BRK,2019-01-23,28561.0,864223.0,Wednesday
589,BRK,2019-01-24,72901.0,2138099.0,Thursday
590,BRK,2019-01-25,12144.0,1557142.0,Friday
591,BRK,2019-01-28,12653.0,1307892.0,Monday
592,BRK,2019-01-29,5047.0,1005749.0,Tuesday
593,BRK,2019-01-30,13171.0,1037435.0,Wednesday
594,BRK,2019-01-31,11836.0,6473759.0,Thursday
595,BRK,2019-02-01,119931.0,3159071.0,Friday
596,BRK,2019-02-04,80511.0,1790344.0,Monday
597,BRK,2019-02-05,95979.0,2356553.0,Tuesday
598,BRK,2019-02-06,4661.0,2117140.0,Wednesday
599,BRK,2019-02-07,1879.0,1954415.0,Thursday
600,BRK,2019-02-08,75827.0,2039613.0,Friday
601,BRK,2019-02-11,100935.0,1323662.0,Monday
602,BRK,2019-02-12,14211.0,1692637.0,Tuesday
603,BRK,2019-02-13,7673.0,1146732.0,Wednesday
604,BRK,2019-02-14,9121.0,1321025.0,Thursday
605,BRK,2019-02-15,544813.0,1987405.0,Friday
606,BRK,2019-02-19,4325.0,1708150.0,Tuesday
607,BRK,2019-02-20,3608.0,1946159.0,Wednesday
608,BRK,2019-02-21,56159.0,1469023.0,Thursday
609,BRK,2019-02-22,23316.0,1127851.0,Friday
610,BRK,2019-02-25,222881.0,1178663.0,Monday
611,BRK,2019-02-26,90640.0,1275162.0,Tuesday
612,BRK,2019-02-27,76108.0,2349674.0,Wednesday
613,BRK,2019-02-28,66366.0,2048937.0,Thursday
614,BRK,2019-03-01,6289.0,1312850.0,Friday
615,BRK,2019-03-04,4848.0,2214100.0,Monday
616,BRK,2019-03-05,70536.0,1685158.0,Tuesday
617,BRK,2019-03-06,78921.0,1092718.0,Wednesday
618,BRK,2019-03-07,10229.0,2152390.0,Thursday
619,BRK,2019-03-08,42551.0,920100.0,Friday
620,BRK,2019-03-11,7857.0,1633684.0,Monday
621,BRK,2019-03-12,70292.0,1753208.0,Tuesday
622,BRK,2019-03-13,63859.0,1361758.0,Wednesday
623,BRK,2019-03-14,84978.0,1499654.0,Thursday
624,BRK,2019-03-15,21784.0,5467546.0,Friday
625,BRK,2019-03-18,10156.0,2301814.0,Monday
626,BRK,2019-03-19,87297.0,1888855.0,Tuesday
627,BRK,2019-03-20,73087.0,1745435.0,Wednesday
628,BRK,2019-03-21,83017.0,1226926.0,Thursday
629,BRK,2019-03-22,85889.0,1758523.0,Friday
630,BRK,2019-03-25,104360.0,961883.0,Monday
631,BRK,2019-03-26,10384.0,1242037.0,Tuesday
632,BRK,2019-03-27,5489.0,1226632.0,Wednesday
633,BRK,2019-03-28,7098.0,877253.0,Thursday
634,BRK,2019-03-29,15493.0,3083358.0,Friday
635,BRK,2019-04-01,135142.0,1579599.0,Monday
636,BRK,2019-04-02,3128.0,906374.0,Tuesday
637,BRK,2019-04-03,93390.0,1284076.0,Wednesday
638,BRK,2019-04-04,2151.0,722870.0,Thursday
639,BRK,2019-04-05,17768.0,857594.0,Friday
640,BRK,2019-04-08,1922.0,1333775.0,Monday
641,BRK,2019-04-09,2917.0,909995.0,Tuesday
642,BRK,2019-04-10,4815.0,801804.0,Wednesday
643,BRK,2019-04-11,17559.0,763856.0,Thursday
644,BRK,2019-04-12,32169.0,1835723.0,Friday
645,BRK,2019-04-15,89747.0,905720.0,Monday
646,BRK,2019-04-16,74860.0,797638.0,Tuesday
647,BRK,2019-04-17,105715.0,1110368.0,Wednesday
648,BRK,2019-04-18,8622.0,885727.0,Thursday
649,BRK,2019-04-22,78700.0,689236.0,Monday
650,BRK,2019-04-23,103208.0,1582914.0,Tuesday
651,BRK,2019-04-24,65252.0,1768973.0,Wednesday
652,BRK,2019-04-25,6552.0,1114304.0,Thursday
653,BRK,2019-04-26,5222.0,910161.0,Friday
654,BRK,2019-04-29,114246.0,714605.0,Monday
655,BRK,2019-04-30,9352.0,2045273.0,Tuesday
