,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
656,CRM,2019-01-02,88397.0,1093481.0,Wednesday
657,CRM,2019-01-03,110781.0,1414691.0,Thursday
658,CRM,2019-01-04,64410.0,1423783.0,Friday
659,CRM,2019-01-07,185568.0,1057924.0,Monday
660,CRM,2019-01-08,175813.0,1521548.0,Tuesday
661,CRM,2019-01-09,162456.0,1063035.0,Wednesday
662,CRM,2019-01-10,110035.0,1121090.0,Thursday
663,CRM,2019-01-11,95232.0,1169949.0,Friday
664,CRM,2019-01-14,23430.0,2384362.0,Monday
665,CRM,2019-01-15,69137.0,773638.0,Tuesday
666,CRM,2019-01-16,13399.0,1477801.0,Wednesday
667,CRM,2019-01-17,91247.0,614358.0,Thursday
668,CRM,2019-01-18,493876.0,1577897.0,Friday
669,CRM,2019-01-22,174093.0,1724695.0,Tuesday
670,CRM,2019-01-23,14372.0,834384.0,Wednesday
671,CRM,2019-01-24,65353.0,2390469.0,Thursday
672,CRM,2019-01-25,21039.0,1061025.0,Friday
673,CRM,2019-01-28,17570.0,1651865.0,Monday
674,CRM,2019-01-29,50041.0,824493.0,Tuesday
675,CRM,2019-01-30,4129.0,747285.0,Wednesday
676,CRM,2019-01-31,38064.0,2003615.0,Thursday
677,CRM,2019-02-01,78391.0,1235095.0,Friday
678,CRM,2019-02-04,94857.0,1143237.0,Monday
679,CRM,2019-02-05,112388.0,946632.0,Tuesday
680,CRM,2019-02-06,93128.0,779038.0,Wednesday
681,CRM,2019-02-07,258661.0,1057469.0,Thursday
682,CRM,2019-02-08,102016.0,709408.0,Friday
683,CRM,2019-02-11,150868.0,833346.0,Monday
684,CRM,2019-02-12,238461.0,921462.0,Tuesday
685,CRM,2019-02-13,137354.0,1523519.0,Wednesday
686,CRM,2019-02-14,136983.0,981875.0,Thursday
687,CRM,2019-02-15,284308.0,951655.0,Friday
688,CRM,2019-02-19,4666.0,1005649.0,Tuesday
689,CRM,2019-02-20,76953.0,5335555.0,Wednesday
690,CRM,2019-02-21,15532.0,1095816.0,Thursday
691,CRM,2019-02-22,65640.0,1525997.0,Friday
692,CRM,2019-02-25,127978.0,1800509.0,Monday
693,CRM,2019-02-26,74378.0,1957728.0,Tuesday
694,CRM,2019-02-27,119659.0,1304386.0,Wednesday
695,CRM,2019-02-28,55036.0,3978356.0,Thursday
696,CRM,2019-03-01,274457.0,1445097.0,Friday
697,CRM,2019-03-04,267230.0,3526038.0,Monday
698,CRM,2019-03-05,1213234.0,1830935.0,Tuesday
699,CRM,2019-03-06,31289.0,1233468.0,Wednesday
700,CRM,2019-03-07,188285.0,1934209.0,Thursday
701,CRM,2019-03-08,103003.0,737983.0,Friday
702,CRM,2019-03-11,151123.0,654474.0,Monday
703,CRM,2019-03-12,94882.0,777543.0,Tuesday
704,CRM,2019-03-13,6281.0,876730.0,Wednesday
705,CRM,2019-03-14,76388.0,758078.0,Thursday
706,CRM,2019-03-15,16322.0,2741192.0,Friday
707,CRM,2019-03-18,103692.0,937588.0,Monday
708,CRM,2019-03-19,60451.0,1193269.0,Tuesday
709,CRM,2019-03-20,7712.0,1546771.0,Wednesday
710,CRM,2019-03-21,52195.0,942525.0,Thursday
711,CRM,2019-03-22,9878.0,1931584.0,Friday
712,CRM,2019-03-25,16869.0,1303150.0,Monday
713,CRM,2019-03-26,168040.0,763510.0,Tuesday
714,CRM,2019-03-27,9602.0,957549.0,Wednesday
715,CRM,2019-03-28,125652.0,541799.0,Thursday
716,CRM,2019-03-29,133067.0,1635639.0,Friday
717,CRM,2019-04-01,171062.0,1257706.0,Monday
718,CRM,2019-04-02,95050.0,496842.0,Tuesday
719,CRM,2019-04-03,67984.0,729441.0,Wednesday
720,CRM,2019-04-04,76877.0,573906.0,Thursday
721,CRM,2019-04-05,124032.0,766286.0,Friday
722,CRM,2019-04-08,55439.0,577906.0,Monday
723,CRM,2019-04-09,71166.0,1110978.0,Tuesday
724,CRM,2019-04-10,119834.0,584319.0,Wednesday
725,CRM,2019-04-11,69269.0,555559.0,Thursday
726,CRM,2019-04-12,8136.0,931299.0,Friday
727,CRM,2019-04-15,47831.0,682193.0,Monday
728,CRM,2019-04-16,58911.0,548530.0,Tuesday
729,CRM,2019-04-17,101653.0,774494.0,Wednesday
730,CRM,2019-04-18,337831.0,842717.0,Thursday
731,CRM,2019-04-22,46950.0,821328.0,Monday
732,CRM,2019-04-23,106571.0,599843.0,Tuesday
733,CRM,2019-04-24,16140.0,635429.0,Wednesday
734,CRM,2019-04-25,122412.0,1000348.0,Thursday
735,CRM,2019-04-26,76192.0,657590.0,Friday
736,CRM,2019-04-29,96709.0,1297411.0,Monday
737,CRM,2019-04-30,61259.0,1187575.0,Tuesday
