,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
738,DIS,2019-01-02,13092.0,3692178.0,Wednesday
739,DIS,2019-01-03,16379.0,4379689.0,Thursday
740,DIS,2019-01-04,126706.0,3229070.0,Friday
741,DIS,2019-01-07,132591.0,2291805.0,Monday
742,DIS,2019-01-08,30575.0,3925801.0,Tuesday
743,DIS,2019-01-09,135870.0,1480558.0,Wednesday
744,DIS,2019-01-10,7588.0,2456374.0,Thursday
745,DIS,2019-01-11,22819.0,1517079.0,Friday
746,DIS,2019-01-14,9637.0,4499628.0,Monday
747,DIS,2019-01-15,34603.0,2178583.0,Tuesday
748,DIS,2019-01-16,18674.0,1905413.0,Wednesday
749,DIS,2019-01-17,24347.0,2822759.0,Thursday
750,DIS,2019-01-18,32060.0,1592152.0,Friday
751,DIS,2019-01-22,6822.0,1812387.0,Tuesday
752,DIS,2019-01-23,174856.0,2553167.0,Wednesday
753,DIS,2019-01-24,103001.0,2273455.0,Thursday
754,DIS,2019-01-25,11515.0,2498393.0,Friday
755,DIS,2019-01-28,125285.0,1850211.0,Monday
756,DIS,2019-01-29,2693.0,1514972.0,Tuesday
757,DIS,2019-01-30,53034.0,1889643.0,Wednesday
758,DIS,2019-01-31,103506.0,5370820.0,Thursday
759,DIS,2019-02-01,177823.0,1734952.0,Friday
760,DIS,2019-02-04,17125.0,2142852.0,Monday
761,DIS,2019-02-05,59082.0,4038971.0,Tuesday
762,DIS,2019-02-06,267915.0,1815851.0,Wednesday
763,DIS,2019-02-07,23271.0,2255535.0,Thursday
764,DIS,2019-02-08,131705.0,1486366.0,Friday
765,DIS,2019-02-11,18225.0,2935658.0,Monday
766,DIS,2019-02-12,123823.0,1899395.0,Tuesday
767,DIS,2019-02-13,18864.0,1548744.0,Wednesday
768,DIS,2019-02-14,10437.0,1124759.0,Thursday
769,DIS,2019-02-15,4607.0,3065206.0,Friday
770,DIS,2019-02-19,17441.0,2331223.0,Tuesday
771,DIS,2019-02-20,4612.0,1910480.0,Wednesday
772,DIS,2019-02-21,144174.0,1376688.0,Thursday
773,DIS,2019-02-22,12516.0,1701290.0,Friday
774,DIS,2019-02-25,173330.0,3665194.0,Monday
775,DIS,2019-02-26,127856.0,2451100.0,Tuesday
776,DIS,2019-02-27,5234.0,1226731.0,Wednesday
777,DIS,2019-02-28,107282.0,3486274.0,Thursday
778,DIS,2019-03-01,15761.0,1890992.0,Friday
779,DIS,2019-03-04,4734.0,1327326.0,Monday
780,DIS,2019-03-05,2402.0,1204797.0,Tuesday
781,DIS,2019-03-06,2987.0,1082653.0,Wednesday
782,DIS,2019-03-07,13324.0,1603239.0,Thursday
783,DIS,2019-03-08,63164.0,1090389.0,Friday
784,DIS,2019-03-11,141633.0,1622050.0,Monday
785,DIS,2019-03-12,176209.0,1265008.0,Tuesday
786,DIS,2019-03-13,8512.0,5075310.0,Wednesday
787,DIS,2019-03-14,13068.0,7600565.0,Thursday
788,DIS,2019-03-15,1399423.0,9362813.0,Friday
789,DIS,2019-03-18,937597.0,5762531.0,Monday
790,DIS,2019-03-19,195702.0,36526673.0,Tuesday
791,DIS,2019-03-20,490416.0,10997073.0,Wednesday
792,DIS,2019-03-21,880235.0,7857780.0,Thursday
793,DIS,2019-03-22,409806.0,7303186.0,Friday
794,DIS,2019-03-25,577081.0,3951396.0,Monday
795,DIS,2019-03-26,34148.0,5484330.0,Tuesday
796,DIS,2019-03-27,27670.0,2151243.0,Wednesday
797,DIS,2019-03-28,156869.0,3375620.0,Thursday
798,DIS,2019-03-29,52687.0,8359150.0,Friday
799,DIS,2019-04-01,167882.0,1923332.0,Monday
800,DIS,2019-04-02,49806.0,2357860.0,Tuesday
801,DIS,2019-04-03,45979.0,3489977.0,Wednesday
802,DIS,2019-04-04,116890.0,2911371.0,Thursday
803,DIS,2019-04-05,77748.0,2374589.0,Friday
804,DIS,2019-04-08,22931.0,1976702.0,Monday
805,DIS,2019-04-09,148085.0,1704850.0,Tuesday
806,DIS,2019-04-10,207985.0,2165719.0,Wednesday
807,DIS,2019-04-11,104866.0,2768793.0,Thursday
808,DIS,2019-04-12,5396541.0,2557077.0,Friday
809,DIS,2019-04-15,1493510.0,2494752.0,Monday
810,DIS,2019-04-16,1474156.0,1553329.0,Tuesday
811,DIS,2019-04-17,41606.0,1847468.0,Wednesday
812,DIS,2019-04-18,513310.0,3854851.0,Thursday
813,DIS,2019-04-22,24465.0,3549945.0,Monday
814,DIS,2019-04-23,145977.0,2115518.0,Tuesday
815,DIS,2019-04-24,49900.0,1667739.0,Wednesday
816,DIS,2019-04-25,300635.0,2568636.0,Thursday
817,DIS,2019-04-26,87522.0,2120652.0,Friday
818,DIS,2019-04-29,897786.0,1280117.0,Monday
819,DIS,2019-04-30,61676.0,4587980.0,Tuesday
