,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
820,GOOG,2019-01-02,141997.0,826975.0,Wednesday
821,GOOG,2019-01-03,174775.0,1582128.0,Thursday
822,GOOG,2019-01-04,103717.0,1483642.0,Friday
823,GOOG,2019-01-07,175703.0,1215516.0,Monday
824,GOOG,2019-01-08,151013.0,1260069.0,Tuesday
825,GOOG,2019-01-09,101188.0,575890.0,Wednesday
826,GOOG,2019-01-10,97012.0,1028089.0,Thursday
827,GOOG,2019-01-11,78822.0,780853.0,Friday
828,GOOG,2019-01-14,95643.0,769691.0,Monday
829,GOOG,2019-01-15,76732.0,924105.0,Tuesday
830,GOOG,2019-01-16,126217.0,781799.0,Wednesday
831,GOOG,2019-01-17,78791.0,952351.0,Thursday
832,GOOG,2019-01-18,825308.0,1372972.0,Friday
833,GOOG,2019-01-22,164387.0,1865427.0,Tuesday
834,GOOG,2019-01-23,130172.0,461412.0,Wednesday
835,GOOG,2019-01-24,87246.0,1174244.0,Thursday
836,GOOG,2019-01-25,109772.0,757820.0,Friday
837,GOOG,2019-01-28,102688.0,971859.0,Monday
838,GOOG,2019-01-29,70747.0,500256.0,Tuesday
839,GOOG,2019-01-30,97340.0,737631.0,Wednesday
840,GOOG,2019-01-31,178715.0,1057449.0,Thursday
841,GOOG,2019-02-01,113415.0,1108621.0,Friday
842,GOOG,2019-02-04,154781.0,2443448.0,Monday
843,GOOG,2019-02-05,543770.0,1006056.0,Tuesday
844,GOOG,2019-02-06,313177.0,1081545.0,Wednesday
845,GOOG,2019-02-07,218126.0,866505.0,Thursday
846,GOOG,2019-02-08,98356.0,689600.0,Friday
847,GOOG,2019-02-11,148191.0,742163.0,Monday
848,GOOG,2019-02-12,183326.0,703543.0,Tuesday
849,GOOG,2019-02-13,115128.0,557864.0,Wednesday
850,GOOG,2019-02-14,105204.0,378937.0,Thursday
851,GOOG,2019-02-15,546023.0,666714.0,Friday
852,GOOG,2019-02-19,130782.0,823343.0,Tuesday
853,GOOG,2019-02-20,109463.0,586697.0,Wednesday
854,GOOG,2019-02-21,77473.0,924983.0,Thursday
855,GOOG,2019-02-22,97663.0,843386.0,Friday
856,GOOG,2019-02-25,162610.0,710123.0,Monday
857,GOOG,2019-02-26,111796.0,1280003.0,Tuesday
858,GOOG,2019-02-27,94403.0,502450.0,Wednesday
859,GOOG,2019-02-28,101812.0,1312909.0,Thursday
860,GOOG,2019-03-01,124459.0,997523.0,Friday
861,GOOG,2019-03-04,170802.0,882187.0,Monday
862,GOOG,2019-03-05,96291.0,677867.0,Tuesday
863,GOOG,2019-03-06,106406.0,506402.0,Wednesday
864,GOOG,2019-03-07,75542.0,804297.0,Thursday
865,GOOG,2019-03-08,166392.0,569019.0,Friday
866,GOOG,2019-03-11,90732.0,1000583.0,Monday
867,GOOG,2019-03-12,171999.0,672516.0,Tuesday
868,GOOG,2019-03-13,138942.0,607745.0,Wednesday
869,GOOG,2019-03-14,115057.0,644358.0,Thursday
870,GOOG,2019-03-15,1594249.0,2342153.0,Friday
871,GOOG,2019-03-18,108138.0,733014.0,Monday
872,GOOG,2019-03-19,81186.0,1213317.0,Tuesday
873,GOOG,2019-03-20,126750.0,1377079.0,Wednesday
874,GOOG,2019-03-21,100253.0,817183.0,Thursday
875,GOOG,2019-03-22,93354.0,861931.0,Friday
876,GOOG,2019-03-25,142455.0,803100.0,Monday
877,GOOG,2019-03-26,142525.0,512812.0,Tuesday
878,GOOG,2019-03-27,54628.0,509494.0,Wednesday
879,GOOG,2019-03-28,116519.0,353558.0,Thursday
880,GOOG,2019-03-29,116319.0,1463304.0,Friday
881,GOOG,2019-04-01,186420.0,839446.0,Monday
882,GOOG,2019-04-02,95937.0,486794.0,Tuesday
883,GOOG,2019-04-03,91899.0,514311.0,Wednesday
884,GOOG,2019-04-04,77681.0,549465.0,Thursday
885,GOOG,2019-04-05,126857.0,509603.0,Friday
886,GOOG,2019-04-08,79319.0,585250.0,Monday
887,GOOG,2019-04-09,102635.0,495092.0,Tuesday
888,GOOG,2019-04-10,59921.0,355438.0,Wednesday
889,GOOG,2019-04-11,88390.0,401388.0,Thursday
890,GOOG,2019-04-12,70894.0,560169.0,Friday
891,GOOG,2019-04-15,85511.0,544120.0,Monday
892,GOOG,2019-04-16,61269.0,377642.0,Tuesday
893,GOOG,2019-04-17,87979.0,444334.0,Wednesday
894,GOOG,2019-04-18,529210.0,792235.0,Thursday
895,GOOG,2019-04-22,65168.0,390286.0,Monday
896,GOOG,2019-04-23,129570.0,617287.0,Tuesday
897,GOOG,2019-04-24,96790.0,908616.0,Wednesday
898,GOOG,2019-04-25,173693.0,597681.0,Thursday
899,GOOG,2019-04-26,92389.0,666041.0,Friday
900,GOOG,2019-04-29,180283.0,2263046.0,Monday
901,GOOG,2019-04-30,960530.0,1361194.0,Tuesday
