,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
902,JNJ,2019-01-02,160776.0,3336149.0,Wednesday
903,JNJ,2019-01-03,160390.0,4090817.0,Thursday
904,JNJ,2019-01-04,156153.0,4440077.0,Friday
905,JNJ,2019-01-07,132241.0,3358545.0,Monday
906,JNJ,2019-01-08,10059.0,3227115.0,Tuesday
907,JNJ,2019-01-09,168424.0,2084386.0,Wednesday
908,JNJ,2019-01-10,168083.0,3070757.0,Thursday
909,JNJ,2019-01-11,118713.0,2810004.0,Friday
910,JNJ,2019-01-14,113069.0,5587475.0,Monday
911,JNJ,2019-01-15,153409.0,2096008.0,Tuesday
912,JNJ,2019-01-16,168609.0,2602897.0,Wednesday
913,JNJ,2019-01-17,160812.0,3654023.0,Thursday
914,JNJ,2019-01-18,1479957.0,3273871.0,Friday
915,JNJ,2019-01-22,797825.0,3201168.0,Tuesday
916,JNJ,2019-01-23,183712.0,3773847.0,Wednesday
917,JNJ,2019-01-24,75083.0,1675770.0,Thursday
918,JNJ,2019-01-25,182061.0,2756875.0,Friday
919,JNJ,2019-01-28,177620.0,2480422.0,Monday
920,JNJ,2019-01-29,91240.0,2095690.0,Tuesday
921,JNJ,2019-01-30,161327.0,2851348.0,Wednesday
922,JNJ,2019-01-31,141332.0,13323328.0,Thursday
923,JNJ,2019-02-01,211938.0,4462698.0,Friday
924,JNJ,2019-02-04,120491.0,4019012.0,Monday
925,JNJ,2019-02-05,137616.0,2543151.0,Tuesday
926,JNJ,2019-02-06,157532.0,2102545.0,Wednesday
927,JNJ,2019-02-07,102476.0,2637716.0,Thursday
928,JNJ,2019-02-08,97581.0,2049725.0,Friday
929,JNJ,2019-02-11,184402.0,2275753.0,Monday
930,JNJ,2019-02-12,200081.0,2742425.0,Tuesday
931,JNJ,2019-02-13,151166.0,3718109.0,Wednesday
932,JNJ,2019-02-14,107105.0,1325015.0,Thursday
933,JNJ,2019-02-15,742395.0,3404809.0,Friday
934,JNJ,2019-02-19,203818.0,2419955.0,Tuesday
935,JNJ,2019-02-20,117061.0,3781959.0,Wednesday
936,JNJ,2019-02-21,276658.0,1829987.0,Thursday
937,JNJ,2019-02-22,204599.0,1602534.0,Friday
938,JNJ,2019-02-25,162152.0,2202454.0,Monday
939,JNJ,2019-02-26,127324.0,2504486.0,Tuesday
940,JNJ,2019-02-27,94288.0,1706040.0,Wednesday
941,JNJ,2019-02-28,158171.0,7615727.0,Thursday
942,JNJ,2019-03-01,165725.0,2264203.0,Friday
943,JNJ,2019-03-04,162261.0,1911933.0,Monday
944,JNJ,2019-03-05,107756.0,1755011.0,Tuesday
945,JNJ,2019-03-06,210608.0,1663985.0,Wednesday
946,JNJ,2019-03-07,120864.0,2760611.0,Thursday
947,JNJ,2019-03-08,240990.0,1898326.0,Friday
948,JNJ,2019-03-11,178643.0,3502841.0,Monday
949,JNJ,2019-03-12,237708.0,1829850.0,Tuesday
950,JNJ,2019-03-13,92930.0,2343505.0,Wednesday
951,JNJ,2019-03-14,202878.0,3593559.0,Thursday
952,JNJ,2019-03-15,2491025.0,5350618.0,Friday
953,JNJ,2019-03-18,138351.0,4741946.0,Monday
954,JNJ,2019-03-19,114888.0,3404508.0,Tuesday
955,JNJ,2019-03-20,145217.0,2507172.0,Wednesday
956,JNJ,2019-03-21,108612.0,3048089.0,Thursday
957,JNJ,2019-03-22,109097.0,2548272.0,Friday
958,JNJ,2019-03-25,130620.0,1477818.0,Monday
959,JNJ,2019-03-26,102749.0,1686858.0,Tuesday
960,JNJ,2019-03-27,96623.0,1923247.0,Wednesday
961,JNJ,2019-03-28,115305.0,1449558.0,Thursday
962,JNJ,2019-03-29,122264.0,4505364.0,Friday
963,JNJ,2019-04-01,428950.0,2292943.0,Monday
964,JNJ,2019-04-02,156971.0,1724446.0,Tuesday
965,JNJ,2019-04-03,139064.0,1910163.0,Wednesday
966,JNJ,2019-04-04,124579.0,1643652.0,Thursday
967,JNJ,2019-04-05,101279.0,2157537.0,Friday
968,JNJ,2019-04-08,111209.0,1534058.0,Monday
969,JNJ,2019-04-09,172729.0,1574996.0,Tuesday
970,JNJ,2019-04-10,96270.0,1747808.0,Wednesday
971,JNJ,2019-04-11,113625.0,1229100.0,Thursday
972,JNJ,2019-04-12,135882.0,2269264.0,Friday
973,JNJ,2019-04-15,136125.0,2325696.0,Monday
974,JNJ,2019-04-16,472462.0,1928895.0,Tuesday
975,JNJ,2019-04-17,164525.0,1714772.0,Wednesday
976,JNJ,2019-04-18,637793.0,2976699.0,Thursday
977,JNJ,2019-04-22,102297.0,2269774.0,Monday
978,JNJ,2019-04-23,175419.0,1959108.0,Tuesday
979,JNJ,2019-04-24,6230.0,2394523.0,Wednesday
980,JNJ,2019-04-25,131356.0,1523346.0,Thursday
981,JNJ,2019-04-26,159039.0,2018419.0,Friday
982,JNJ,2019-04-29,101915.0,2084429.0,Monday
983,JNJ,2019-04-30,97127.0,3561069.0,Tuesday
