,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
984,JPM,2019-01-02,387842.0,3337978.0,Wednesday
985,JPM,2019-01-03,317498.0,4115086.0,Thursday
986,JPM,2019-01-04,304164.0,5648621.0,Friday
987,JPM,2019-01-07,187103.0,6832248.0,Monday
988,JPM,2019-01-08,206091.0,2481154.0,Tuesday
989,JPM,2019-01-09,353902.0,3644263.0,Wednesday
990,JPM,2019-01-10,214923.0,4352241.0,Thursday
991,JPM,2019-01-11,292632.0,3100714.0,Friday
992,JPM,2019-01-14,253674.0,8005784.0,Monday
993,JPM,2019-01-15,1159096.0,2330141.0,Tuesday
994,JPM,2019-01-16,950880.0,3267992.0,Wednesday
995,JPM,2019-01-17,355442.0,2751895.0,Thursday
996,JPM,2019-01-18,1806002.0,4529300.0,Friday
997,JPM,2019-01-22,609388.0,6140741.0,Tuesday
998,JPM,2019-01-23,274380.0,2994805.0,Wednesday
999,JPM,2019-01-24,238371.0,4188825.0,Thursday
1000,JPM,2019-01-25,288651.0,3769960.0,Friday
1001,JPM,2019-01-28,236753.0,2276443.0,Monday
1002,JPM,2019-01-29,175168.0,2273102.0,Tuesday
1003,JPM,2019-01-30,305042.0,2694390.0,Wednesday
1004,JPM,2019-01-31,433953.0,8441744.0,Thursday
1005,JPM,2019-02-01,288608.0,6040340.0,Friday
1006,JPM,2019-02-04,148157.0,3009274.0,Monday
1007,JPM,2019-02-05,129533.0,4966708.0,Tuesday
1008,JPM,2019-02-06,178655.0,3081617.0,Wednesday
1009,JPM,2019-02-07,247180.0,3651181.0,Thursday
1010,JPM,2019-02-08,192598.0,4195798.0,Friday
1011,JPM,2019-02-11,235743.0,2941457.0,Monday
1012,JPM,2019-02-12,298317.0,3841912.0,Tuesday
1013,JPM,2019-02-13,180464.0,2889324.0,Wednesday
1014,JPM,2019-02-14,363638.0,2389717.0,Thursday
1015,JPM,2019-02-15,1048850.0,3178712.0,Friday
1016,JPM,2019-02-19,388566.0,3191205.0,Tuesday
1017,JPM,2019-02-20,149362.0,3170003.0,Wednesday
1018,JPM,2019-02-21,182103.0,2180372.0,Thursday
1019,JPM,2019-02-22,210747.0,2892551.0,Friday
1020,JPM,2019-02-25,239995.0,3517407.0,Monday
1021,JPM,2019-02-26,501331.0,3034049.0,Tuesday
1022,JPM,2019-02-27,196058.0,1636491.0,Wednesday
1023,JPM,2019-02-28,1227719.0,8666305.0,Thursday
1024,JPM,2019-03-01,431327.0,3629921.0,Friday
1025,JPM,2019-03-04,263267.0,3843638.0,Monday
1026,JPM,2019-03-05,177985.0,4311332.0,Tuesday
1027,JPM,2019-03-06,218950.0,2737478.0,Wednesday
1028,JPM,2019-03-07,227959.0,4580943.0,Thursday
1029,JPM,2019-03-08,341874.0,2270190.0,Friday
1030,JPM,2019-03-11,263797.0,3160872.0,Monday
1031,JPM,2019-03-12,213547.0,2922325.0,Tuesday
1032,JPM,2019-03-13,281183.0,3467910.0,Wednesday
1033,JPM,2019-03-14,144485.0,4070992.0,Thursday
1034,JPM,2019-03-15,3154758.0,21379457.0,Friday
1035,JPM,2019-03-18,2018111.0,4504009.0,Monday
1036,JPM,2019-03-19,264318.0,4649709.0,Tuesday
1037,JPM,2019-03-20,276000.0,5237694.0,Wednesday
1038,JPM,2019-03-21,432384.0,3492552.0,Thursday
1039,JPM,2019-03-22,560832.0,4052261.0,Friday
1040,JPM,2019-03-25,381189.0,2725976.0,Monday
1041,JPM,2019-03-26,462731.0,3262510.0,Tuesday
1042,JPM,2019-03-27,199986.0,2933385.0,Wednesday
1043,JPM,2019-03-28,220502.0,2555355.0,Thursday
1044,JPM,2019-03-29,217584.0,10655338.0,Friday
1045,JPM,2019-04-01,412873.0,4530422.0,Monday
1046,JPM,2019-04-02,171101.0,2161391.0,Tuesday
1047,JPM,2019-04-03,301133.0,2500982.0,Wednesday
1048,JPM,2019-04-04,263501.0,2164377.0,Thursday
1049,JPM,2019-04-05,194624.0,3695092.0,Friday
1050,JPM,2019-04-08,176694.0,2431490.0,Monday
1051,JPM,2019-04-09,203680.0,1934617.0,Tuesday
1052,JPM,2019-04-10,204543.0,4887324.0,Wednesday
1053,JPM,2019-04-11,325470.0,1746288.0,Thursday
1054,JPM,2019-04-12,1305623.0,4510249.0,Friday
1055,JPM,2019-04-15,613525.0,3535041.0,Monday
1056,JPM,2019-04-16,303260.0,2474641.0,Tuesday
1057,JPM,2019-04-17,413660.0,2915245.0,Wednesday
1058,JPM,2019-04-18,975667.0,3224441.0,Thursday
1059,JPM,2019-04-22,220600.0,2756926.0,Monday
1060,JPM,2019-04-23,272089.0,2078342.0,Tuesday
1061,JPM,2019-04-24,224313.0,3786601.0,Wednesday
1062,JPM,2019-04-25,308576.0,2572947.0,Thursday
1063,JPM,2019-04-26,205185.0,2019377.0,Friday
1064,JPM,2019-04-29,216388.0,3713931.0,Monday
1065,JPM,2019-04-30,419477.0,6995911.0,Tuesday
