,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1066,KO,2019-01-02,346983.0,3593715.0,Wednesday
1067,KO,2019-01-03,203895.0,7343009.0,Thursday
1068,KO,2019-01-04,179604.0,6292275.0,Friday
1069,KO,2019-01-07,229484.0,4743996.0,Monday
1070,KO,2019-01-08,271059.0,4761692.0,Tuesday
1071,KO,2019-01-09,422883.0,3816221.0,Wednesday
1072,KO,2019-01-10,283958.0,9963668.0,Thursday
1073,KO,2019-01-11,414152.0,7322326.0,Friday
1074,KO,2019-01-14,151231.0,6829514.0,Monday
1075,KO,2019-01-15,33152.0,5746702.0,Tuesday
1076,KO,2019-01-16,280025.0,4862532.0,Wednesday
1077,KO,2019-01-17,203328.0,4740705.0,Thursday
1078,KO,2019-01-18,1992859.0,4753316.0,Friday
1079,KO,2019-01-22,341689.0,5202656.0,Tuesday
1080,KO,2019-01-23,8430.0,3876071.0,Wednesday
1081,KO,2019-01-24,252856.0,2344982.0,Thursday
1082,KO,2019-01-25,190625.0,4089682.0,Friday
1083,KO,2019-01-28,222629.0,2817202.0,Monday
1084,KO,2019-01-29,156029.0,3503367.0,Tuesday
1085,KO,2019-01-30,302476.0,3524604.0,Wednesday
1086,KO,2019-01-31,218456.0,24862703.0,Thursday
1087,KO,2019-02-01,25187.0,7247196.0,Friday
1088,KO,2019-02-04,385164.0,4189305.0,Monday
1089,KO,2019-02-05,254548.0,5866793.0,Tuesday
1090,KO,2019-02-06,210926.0,3526311.0,Wednesday
1091,KO,2019-02-07,222687.0,3449305.0,Thursday
1092,KO,2019-02-08,1074.0,4732559.0,Friday
1093,KO,2019-02-11,320557.0,3456469.0,Monday
1094,KO,2019-02-12,310447.0,4560462.0,Tuesday
1095,KO,2019-02-13,22274.0,4238429.0,Wednesday
1096,KO,2019-02-14,2461123.0,9237208.0,Thursday
1097,KO,2019-02-15,1984395.0,8212410.0,Friday
1098,KO,2019-02-19,75639.0,6188959.0,Tuesday
1099,KO,2019-02-20,409354.0,9599928.0,Wednesday
1100,KO,2019-02-21,478942.0,3929698.0,Thursday
1101,KO,2019-02-22,451002.0,3759322.0,Friday
1102,KO,2019-02-25,417407.0,4711652.0,Monday
1103,KO,2019-02-26,355113.0,4225327.0,Tuesday
1104,KO,2019-02-27,293417.0,4257494.0,Wednesday
1105,KO,2019-02-28,359418.0,9431295.0,Thursday
1106,KO,2019-03-01,320610.0,5539292.0,Friday
1107,KO,2019-03-04,247667.0,6862925.0,Monday
1108,KO,2019-03-05,391240.0,5811290.0,Tuesday
1109,KO,2019-03-06,448693.0,6183592.0,Wednesday
1110,KO,2019-03-07,247320.0,3912106.0,Thursday
1111,KO,2019-03-08,618830.0,3569754.0,Friday
1112,KO,2019-03-11,449889.0,4574714.0,Monday
1113,KO,2019-03-12,478487.0,7518337.0,Tuesday
1114,KO,2019-03-13,292999.0,5341839.0,Wednesday
1115,KO,2019-03-14,317200.0,4628656.0,Thursday
1116,KO,2019-03-15,4418109.0,48410961.0,Friday
1117,KO,2019-03-18,349794.0,13729717.0,Monday
1118,KO,2019-03-19,207701.0,7431275.0,Tuesday
1119,KO,2019-03-20,434169.0,6241475.0,Wednesday
1120,KO,2019-03-21,146546.0,6664419.0,Thursday
1121,KO,2019-03-22,331952.0,4576040.0,Friday
1122,KO,2019-03-25,266159.0,2907015.0,Monday
1123,KO,2019-03-26,208960.0,3181023.0,Tuesday
1124,KO,2019-03-27,189131.0,6086558.0,Wednesday
1125,KO,2019-03-28,203822.0,4318368.0,Thursday
1126,KO,2019-03-29,293406.0,7460254.0,Friday
1127,KO,2019-04-01,728076.0,3923530.0,Monday
1128,KO,2019-04-02,194711.0,2372987.0,Tuesday
1129,KO,2019-04-03,293537.0,4041136.0,Wednesday
1130,KO,2019-04-04,182457.0,2672549.0,Thursday
1131,KO,2019-04-05,193255.0,3430404.0,Friday
1132,KO,2019-04-08,217984.0,4593311.0,Monday
1133,KO,2019-04-09,274686.0,2533596.0,Tuesday
1134,KO,2019-04-10,265123.0,3117491.0,Wednesday
1135,KO,2019-04-11,231025.0,2757749.0,Thursday
1136,KO,2019-04-12,169248.0,5200187.0,Friday
1137,KO,2019-04-15,190297.0,4884137.0,Monday
1138,KO,2019-04-16,167476.0,3516418.0,Tuesday
1139,KO,2019-04-17,363363.0,4309795.0,Wednesday
1140,KO,2019-04-18,847951.0,5695326.0,Thursday
1141,KO,2019-04-22,162970.0,3016015.0,Monday
1142,KO,2019-04-23,1301725.0,5588805.0,Tuesday
1143,KO,2019-04-24,304889.0,5461447.0,Wednesday
1144,KO,2019-04-25,273558.0,2662784.0,Thursday
1145,KO,2019-04-26,240877.0,3157487.0,Friday
1146,KO,2019-04-29,215692.0,4407253.0,Monday
1147,KO,2019-04-30,245726.0,8147302.0,Tuesday
