,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1148,MA,2019-01-02,96897.0,2639896.0,Wednesday
1149,MA,2019-01-03,70337.0,922045.0,Thursday
1150,MA,2019-01-04,72080.0,1247023.0,Friday
1151,MA,2019-01-07,50922.0,871344.0,Monday
1152,MA,2019-01-08,188713.0,860880.0,Tuesday
1153,MA,2019-01-09,137778.0,1059377.0,Wednesday
1154,MA,2019-01-10,74531.0,1030404.0,Thursday
1155,MA,2019-01-11,60925.0,566148.0,Friday
1156,MA,2019-01-14,74353.0,750221.0,Monday
1157,MA,2019-01-15,63061.0,1295736.0,Tuesday
1158,MA,2019-01-16,80887.0,1426417.0,Wednesday
1159,MA,2019-01-17,42325.0,615765.0,Thursday
1160,MA,2019-01-18,590698.0,1307065.0,Friday
1161,MA,2019-01-22,134006.0,1494787.0,Tuesday
1162,MA,2019-01-23,65719.0,596001.0,Wednesday
1163,MA,2019-01-24,48872.0,639374.0,Thursday
1164,MA,2019-01-25,112635.0,1612661.0,Friday
1165,MA,2019-01-28,93216.0,648878.0,Monday
1166,MA,2019-01-29,43086.0,1510973.0,Tuesday
1167,MA,2019-01-30,73334.0,627094.0,Wednesday
1168,MA,2019-01-31,738291.0,5219720.0,Thursday
1169,MA,2019-02-01,112342.0,1400642.0,Friday
1170,MA,2019-02-04,242049.0,1143852.0,Monday
1171,MA,2019-02-05,82738.0,739552.0,Tuesday
1172,MA,2019-02-06,42950.0,958845.0,Wednesday
1173,MA,2019-02-07,48060.0,626575.0,Thursday
1174,MA,2019-02-08,61576.0,911161.0,Friday
1175,MA,2019-02-11,92326.0,729056.0,Monday
1176,MA,2019-02-12,71910.0,1083975.0,Tuesday
1177,MA,2019-02-13,47222.0,783539.0,Wednesday
1178,MA,2019-02-14,62684.0,829454.0,Thursday
1179,MA,2019-02-15,269159.0,841679.0,Friday
1180,MA,2019-02-19,102142.0,686423.0,Tuesday
1181,MA,2019-02-20,51476.0,1132083.0,Wednesday
1182,MA,2019-02-21,56939.0,1269021.0,Thursday
1183,MA,2019-02-22,91572.0,644320.0,Friday
1184,MA,2019-02-25,130079.0,1127278.0,Monday
1185,MA,2019-02-26,62811.0,1107361.0,Tuesday
1186,MA,2019-02-27,48468.0,532357.0,Wednesday
1187,MA,2019-02-28,41488.0,1879339.0,Thursday
1188,MA,2019-03-01,144294.0,909454.0,Friday
1189,MA,2019-03-04,116343.0,732245.0,Monday
1190,MA,2019-03-05,46985.0,1119129.0,Tuesday
1191,MA,2019-03-06,39741.0,1342461.0,Wednesday
1192,MA,2019-03-07,70450.0,1650324.0,Thursday
1193,MA,2019-03-08,220164.0,596990.0,Friday
1194,MA,2019-03-11,50092.0,1279074.0,Monday
1195,MA,2019-03-12,58190.0,959310.0,Tuesday
1196,MA,2019-03-13,40738.0,779815.0,Wednesday
1197,MA,2019-03-14,226475.0,1330314.0,Thursday
1198,MA,2019-03-15,7965.0,1998217.0,Friday
1199,MA,2019-03-18,91202.0,803825.0,Monday
1200,MA,2019-03-19,37516.0,1324255.0,Tuesday
1201,MA,2019-03-20,58793.0,2483043.0,Wednesday
1202,MA,2019-03-21,61195.0,999552.0,Thursday
1203,MA,2019-03-22,61501.0,1158019.0,Friday
1204,MA,2019-03-25,73348.0,568621.0,Monday
1205,MA,2019-03-26,60949.0,1061117.0,Tuesday
1206,MA,2019-03-27,63999.0,786336.0,Wednesday
1207,MA,2019-03-28,39992.0,721045.0,Thursday
1208,MA,2019-03-29,58019.0,1998509.0,Friday
1209,MA,2019-04-01,116846.0,772279.0,Monday
1210,MA,2019-04-02,61870.0,1637176.0,Tuesday
1211,MA,2019-04-03,84955.0,701385.0,Wednesday
1212,MA,2019-04-04,40192.0,454928.0,Thursday
1213,MA,2019-04-05,7845.0,438235.0,Friday
1214,MA,2019-04-08,43032.0,397527.0,Monday
1215,MA,2019-04-09,43000.0,565976.0,Tuesday
1216,MA,2019-04-10,47093.0,595920.0,Wednesday
1217,MA,2019-04-11,41762.0,444851.0,Thursday
1218,MA,2019-04-12,74394.0,1977312.0,Friday
1219,MA,2019-04-15,49132.0,2416374.0,Monday
1220,MA,2019-04-16,47104.0,674803.0,Tuesday
1221,MA,2019-04-17,52955.0,875911.0,Wednesday
1222,MA,2019-04-18,253384.0,901464.0,Thursday
1223,MA,2019-04-22,39052.0,968018.0,Monday
1224,MA,2019-04-23,63551.0,865960.0,Tuesday
1225,MA,2019-04-24,52082.0,1111905.0,Wednesday
1226,MA,2019-04-25,72376.0,637521.0,Thursday
1227,MA,2019-04-26,58688.0,1909589.0,Friday
1228,MA,2019-04-29,61090.0,710730.0,Monday
1229,MA,2019-04-30,228824.0,1616274.0,Tuesday
