,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1230,MSFT,2019-01-02,1619554.0,15118973.0,Wednesday
1231,MSFT,2019-01-03,1140959.0,11300589.0,Thursday
1232,MSFT,2019-01-04,1525261.0,12416385.0,Friday
1233,MSFT,2019-01-07,1267198.0,9697526.0,Monday
1234,MSFT,2019-01-08,1196423.0,9345940.0,Tuesday
1235,MSFT,2019-01-09,1259954.0,6711375.0,Wednesday
1236,MSFT,2019-01-10,1127243.0,11074688.0,Thursday
1237,MSFT,2019-01-11,774784.0,6588220.0,Friday
1238,MSFT,2019-01-14,833129.0,13111163.0,Monday
1239,MSFT,2019-01-15,935551.0,7025972.0,Tuesday
1240,MSFT,2019-01-16,1253918.0,8620640.0,Wednesday
1241,MSFT,2019-01-17,893778.0,7757189.0,Thursday
1242,MSFT,2019-01-18,9986756.0,9848778.0,Friday
1243,MSFT,2019-01-22,1174558.0,13916291.0,Tuesday
1244,MSFT,2019-01-23,1073767.0,6376831.0,Wednesday
1245,MSFT,2019-01-24,1026706.0,4294954.0,Thursday
1246,MSFT,2019-01-25,1424666.0,10302740.0,Friday
1247,MSFT,2019-01-28,1485451.0,5455914.0,Monday
1248,MSFT,2019-01-29,851317.0,5846914.0,Tuesday
1249,MSFT,2019-01-30,1598934.0,14061658.0,Wednesday
1250,MSFT,2019-01-31,2946511.0,14447972.0,Thursday
1251,MSFT,2019-02-01,1311771.0,14133101.0,Friday
1252,MSFT,2019-02-04,1192536.0,10185764.0,Monday
1253,MSFT,2019-02-05,1058760.0,10034282.0,Tuesday
1254,MSFT,2019-02-06,1058270.0,7055540.0,Wednesday
1255,MSFT,2019-02-07,826898.0,11831354.0,Thursday
1256,MSFT,2019-02-08,836783.0,7777189.0,Friday
1257,MSFT,2019-02-11,771945.0,6638626.0,Monday
1258,MSFT,2019-02-12,951069.0,6560905.0,Tuesday
1259,MSFT,2019-02-13,816548.0,5470753.0,Wednesday
1260,MSFT,2019-02-14,857952.0,6708191.0,Thursday
1261,MSFT,2019-02-15,7187665.0,5358721.0,Friday
1262,MSFT,2019-02-19,1256754.0,4691148.0,Tuesday
1263,MSFT,2019-02-20,617783.0,7517976.0,Wednesday
1264,MSFT,2019-02-21,750451.0,4762945.0,Thursday
1265,MSFT,2019-02-22,1425828.0,7265907.0,Friday
1266,MSFT,2019-02-25,1651560.0,6249602.0,Monday
1267,MSFT,2019-02-26,1021692.0,5651941.0,Tuesday
1268,MSFT,2019-02-27,831254.0,5398259.0,Wednesday
1269,MSFT,2019-02-28,780606.0,15257269.0,Thursday
1270,MSFT,2019-03-01,1516353.0,9350283.0,Friday
1271,MSFT,2019-03-04,1273297.0,7551783.0,Monday
1272,MSFT,2019-03-05,685921.0,9380791.0,Tuesday
1273,MSFT,2019-03-06,821241.0,3984528.0,Wednesday
1274,MSFT,2019-03-07,603414.0,10110010.0,Thursday
1275,MSFT,2019-03-08,1457406.0,6035771.0,Friday
1276,MSFT,2019-03-11,746807.0,10255362.0,Monday
1277,MSFT,2019-03-12,817234.0,8803254.0,Tuesday
1278,MSFT,2019-03-13,846604.0,23046795.0,Wednesday
1279,MSFT,2019-03-14,1638698.0,21767115.0,Thursday
1280,MSFT,2019-03-15,19346188.0,29278814.0,Friday
1281,MSFT,2019-03-18,1052880.0,17364422.0,Monday
1282,MSFT,2019-03-19,1162615.0,20745512.0,Tuesday
1283,MSFT,2019-03-20,835553.0,9546591.0,Wednesday
1284,MSFT,2019-03-21,736441.0,10789386.0,Thursday
1285,MSFT,2019-03-22,842795.0,11810359.0,Friday
1286,MSFT,2019-03-25,1286554.0,6356698.0,Monday
1287,MSFT,2019-03-26,920059.0,6038791.0,Tuesday
1288,MSFT,2019-03-27,499875.0,6752376.0,Wednesday
1289,MSFT,2019-03-28,655563.0,4195349.0,Thursday
1290,MSFT,2019-03-29,915957.0,16437711.0,Friday
1291,MSFT,2019-04-01,1249463.0,10987624.0,Monday
1292,MSFT,2019-04-02,935014.0,6883340.0,Tuesday
1293,MSFT,2019-04-03,922325.0,8090976.0,Wednesday
1294,MSFT,2019-04-04,807918.0,4885934.0,Thursday
1295,MSFT,2019-04-05,1015488.0,4691182.0,Friday
1296,MSFT,2019-04-08,746498.0,4983036.0,Monday
1297,MSFT,2019-04-09,1095447.0,5436501.0,Tuesday
1298,MSFT,2019-04-10,683714.0,5417015.0,Wednesday
1299,MSFT,2019-04-11,720300.0,3701479.0,Thursday
1300,MSFT,2019-04-12,838927.0,6850858.0,Friday
1301,MSFT,2019-04-15,603120.0,5428255.0,Monday
1302,MSFT,2019-04-16,767397.0,3287619.0,Tuesday
1303,MSFT,2019-04-17,769840.0,4991088.0,Wednesday
1304,MSFT,2019-04-18,6460500.0,6709847.0,Thursday
1305,MSFT,2019-04-22,889483.0,3402623.0,Monday
1306,MSFT,2019-04-23,1054544.0,5863340.0,Tuesday
1307,MSFT,2019-04-24,1309303.0,11875992.0,Wednesday
1308,MSFT,2019-04-25,4166640.0,5758816.0,Thursday
1309,MSFT,2019-04-26,1851494.0,8416386.0,Friday
1310,MSFT,2019-04-29,1144849.0,4369827.0,Monday
1311,MSFT,2019-04-30,952097.0,8066205.0,Tuesday
