,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1312,SHOP,2019-01-02,70381.0,89073.0,Wednesday
1313,SHOP,2019-01-03,32863.0,77322.0,Thursday
1314,SHOP,2019-01-04,60274.0,102853.0,Friday
1315,SHOP,2019-01-07,27398.0,84640.0,Monday
1316,SHOP,2019-01-08,55466.0,87244.0,Tuesday
1317,SHOP,2019-01-09,21193.0,123511.0,Wednesday
1318,SHOP,2019-01-10,28801.0,78407.0,Thursday
1319,SHOP,2019-01-11,10179.0,47031.0,Friday
1320,SHOP,2019-01-14,20265.0,40684.0,Monday
1321,SHOP,2019-01-15,16311.0,305394.0,Tuesday
1322,SHOP,2019-01-16,14769.0,563844.0,Wednesday
1323,SHOP,2019-01-17,26206.0,148207.0,Thursday
1324,SHOP,2019-01-18,48547.0,65295.0,Friday
1325,SHOP,2019-01-22,5485.0,67122.0,Tuesday
1326,SHOP,2019-01-23,15738.0,40675.0,Wednesday
1327,SHOP,2019-01-24,10597.0,47727.0,Thursday
1328,SHOP,2019-01-25,29247.0,53056.0,Friday
1329,SHOP,2019-01-28,7192.0,52793.0,Monday
1330,SHOP,2019-01-29,9153.0,59560.0,Tuesday
1331,SHOP,2019-01-30,11753.0,57207.0,Wednesday
1332,SHOP,2019-01-31,27467.0,139469.0,Thursday
1333,SHOP,2019-02-01,41433.0,81000.0,Friday
1334,SHOP,2019-02-04,27517.0,43790.0,Monday
1335,SHOP,2019-02-05,17151.0,75285.0,Tuesday
1336,SHOP,2019-02-06,32049.0,31665.0,Wednesday
1337,SHOP,2019-02-07,22377.0,152391.0,Thursday
1338,SHOP,2019-02-08,30009.0,84076.0,Friday
1339,SHOP,2019-02-11,57291.0,106258.0,Monday
1340,SHOP,2019-02-12,598926.0,217358.0,Tuesday
1341,SHOP,2019-02-13,72814.0,95364.0,Wednesday
1342,SHOP,2019-02-14,43037.0,62476.0,Thursday
1343,SHOP,2019-02-15,28114.0,73125.0,Friday
1344,SHOP,2019-02-19,34321.0,53862.0,Tuesday
1345,SHOP,2019-02-20,18848.0,72169.0,Wednesday
1346,SHOP,2019-02-21,18748.0,89559.0,Thursday
1347,SHOP,2019-02-22,25575.0,65033.0,Friday
1348,SHOP,2019-02-25,62702.0,98607.0,Monday
1349,SHOP,2019-02-26,18974.0,50263.0,Tuesday
1350,SHOP,2019-02-27,17012.0,94004.0,Wednesday
1351,SHOP,2019-02-28,19204.0,45343.0,Thursday
1352,SHOP,2019-03-01,27426.0,54304.0,Friday
1353,SHOP,2019-03-04,45302.0,59194.0,Monday
1354,SHOP,2019-03-05,19807.0,42616.0,Tuesday
1355,SHOP,2019-03-06,19074.0,30724.0,Wednesday
1356,SHOP,2019-03-07,19967.0,28250.0,Thursday
1357,SHOP,2019-03-08,60613.0,44449.0,Friday
1358,SHOP,2019-03-11,25390.0,71897.0,Monday
1359,SHOP,2019-03-12,33419.0,50363.0,Tuesday
1360,SHOP,2019-03-13,31867.0,36257.0,Wednesday
1361,SHOP,2019-03-14,67197.0,54944.0,Thursday
1362,SHOP,2019-03-15,44520.0,545271.0,Friday
1363,SHOP,2019-03-18,30709.0,43541.0,Monday
1364,SHOP,2019-03-19,24687.0,97521.0,Tuesday
1365,SHOP,2019-03-20,32277.0,50144.0,Wednesday
1366,SHOP,2019-03-21,21193.0,68138.0,Thursday
1367,SHOP,2019-03-22,19749.0,103465.0,Friday
1368,SHOP,2019-03-25,53103.0,50924.0,Monday
1369,SHOP,2019-03-26,22966.0,36681.0,Tuesday
1370,SHOP,2019-03-27,23415.0,47805.0,Wednesday
1371,SHOP,2019-03-28,12846.0,70288.0,Thursday
1372,SHOP,2019-03-29,25598.0,100637.0,Friday
1373,SHOP,2019-04-01,46754.0,55919.0,Monday
1374,SHOP,2019-04-02,19429.0,95907.0,Tuesday
1375,SHOP,2019-04-03,44746.0,355925.0,Wednesday
1376,SHOP,2019-04-04,24892.0,125989.0,Thursday
1377,SHOP,2019-04-05,54253.0,69918.0,Friday
1378,SHOP,2019-04-08,15267.0,54016.0,Monday
1379,SHOP,2019-04-09,22880.0,194966.0,Tuesday
1380,SHOP,2019-04-10,16754.0,42465.0,Wednesday
1381,SHOP,2019-04-11,16570.0,52704.0,Thursday
1382,SHOP,2019-04-12,38725.0,83116.0,Friday
1383,SHOP,2019-04-15,29637.0,82955.0,Monday
1384,SHOP,2019-04-16,20276.0,72091.0,Tuesday
1385,SHOP,2019-04-17,17969.0,55186.0,Wednesday
1386,SHOP,2019-04-18,14650.0,101563.0,Thursday
1387,SHOP,2019-04-22,23305.0,58621.0,Monday
1388,SHOP,2019-04-23,38393.0,141850.0,Tuesday
1389,SHOP,2019-04-24,31932.0,64327.0,Wednesday
1390,SHOP,2019-04-25,18376.0,63867.0,Thursday
1391,SHOP,2019-04-26,10500.0,61724.0,Friday
1392,SHOP,2019-04-29,42707.0,88351.0,Monday
1393,SHOP,2019-04-30,208876.0,176230.0,Tuesday
