,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1394,SQ,2019-01-02,98503.0,913193.0,Wednesday
1395,SQ,2019-01-03,235859.0,836367.0,Thursday
1396,SQ,2019-01-04,215853.0,1267041.0,Friday
1397,SQ,2019-01-07,463488.0,1907161.0,Monday
1398,SQ,2019-01-08,215524.0,1717891.0,Tuesday
1399,SQ,2019-01-09,365700.0,992888.0,Wednesday
1400,SQ,2019-01-10,409786.0,941945.0,Thursday
1401,SQ,2019-01-11,178762.0,541961.0,Friday
1402,SQ,2019-01-14,85185.0,989569.0,Monday
1403,SQ,2019-01-15,237942.0,1230417.0,Tuesday
1404,SQ,2019-01-16,414473.0,1007117.0,Wednesday
1405,SQ,2019-01-17,128233.0,904438.0,Thursday
1406,SQ,2019-01-18,248775.0,779362.0,Friday
1407,SQ,2019-01-22,435060.0,1271930.0,Tuesday
1408,SQ,2019-01-23,778609.0,646100.0,Wednesday
1409,SQ,2019-01-24,363522.0,1198171.0,Thursday
1410,SQ,2019-01-25,860460.0,1055058.0,Friday
1411,SQ,2019-01-28,770268.0,823214.0,Monday
1412,SQ,2019-01-29,1366506.0,904052.0,Tuesday
1413,SQ,2019-01-30,311212.0,1399836.0,Wednesday
1414,SQ,2019-01-31,131270.0,2010521.0,Thursday
1415,SQ,2019-02-01,306718.0,1016009.0,Friday
1416,SQ,2019-02-04,131502.0,697806.0,Monday
1417,SQ,2019-02-05,407457.0,1114857.0,Tuesday
1418,SQ,2019-02-06,346438.0,638774.0,Wednesday
1419,SQ,2019-02-07,64475.0,808723.0,Thursday
1420,SQ,2019-02-08,209062.0,1161945.0,Friday
1421,SQ,2019-02-11,543243.0,1637930.0,Monday
1422,SQ,2019-02-12,167046.0,895359.0,Tuesday
1423,SQ,2019-02-13,315763.0,569250.0,Wednesday
1424,SQ,2019-02-14,129231.0,776177.0,Thursday
1425,SQ,2019-02-15,43885.0,517544.0,Friday
1426,SQ,2019-02-19,48006.0,847504.0,Tuesday
1427,SQ,2019-02-20,43921.0,821004.0,Wednesday
1428,SQ,2019-02-21,55186.0,377065.0,Thursday
1429,SQ,2019-02-22,200019.0,593346.0,Friday
1430,SQ,2019-02-25,523588.0,415153.0,Monday
1431,SQ,2019-02-26,261156.0,643576.0,Tuesday
1432,SQ,2019-02-27,459411.0,4064192.0,Wednesday
1433,SQ,2019-02-28,822502.0,1496831.0,Thursday
1434,SQ,2019-03-01,1068012.0,1308755.0,Friday
1435,SQ,2019-03-04,468064.0,817928.0,Monday
1436,SQ,2019-03-05,372920.0,879737.0,Tuesday
1437,SQ,2019-03-06,262314.0,361425.0,Wednesday
1438,SQ,2019-03-07,200127.0,1424740.0,Thursday
1439,SQ,2019-03-08,670409.0,879181.0,Friday
1440,SQ,2019-03-11,112349.0,581453.0,Monday
1441,SQ,2019-03-12,233953.0,1623886.0,Tuesday
1442,SQ,2019-03-13,225217.0,920485.0,Wednesday
1443,SQ,2019-03-14,170414.0,772038.0,Thursday
1444,SQ,2019-03-15,210901.0,2045628.0,Friday
1445,SQ,2019-03-18,209315.0,804848.0,Monday
1446,SQ,2019-03-19,196650.0,866105.0,Tuesday
1447,SQ,2019-03-20,166251.0,524591.0,Wednesday
1448,SQ,2019-03-21,116257.0,646140.0,Thursday
1449,SQ,2019-03-22,254818.0,680451.0,Friday
1450,SQ,2019-03-25,345770.0,484775.0,Monday
1451,SQ,2019-03-26,300617.0,352832.0,Tuesday
1452,SQ,2019-03-27,572566.0,529408.0,Wednesday
1453,SQ,2019-03-28,239424.0,1078653.0,Thursday
1454,SQ,2019-03-29,196408.0,1357155.0,Friday
1455,SQ,2019-04-01,188872.0,1184954.0,Monday
1456,SQ,2019-04-02,180273.0,555818.0,Tuesday
1457,SQ,2019-04-03,78680.0,1870378.0,Wednesday
1458,SQ,2019-04-04,139049.0,685517.0,Thursday
1459,SQ,2019-04-05,224982.0,852237.0,Friday
1460,SQ,2019-04-08,124868.0,1457414.0,Monday
1461,SQ,2019-04-09,35810.0,1743322.0,Tuesday
1462,SQ,2019-04-10,170751.0,481844.0,Wednesday
1463,SQ,2019-04-11,183316.0,549740.0,Thursday
1464,SQ,2019-04-12,249724.0,319946.0,Friday
1465,SQ,2019-04-15,98436.0,846414.0,Monday
1466,SQ,2019-04-16,33004.0,462109.0,Tuesday
1467,SQ,2019-04-17,134730.0,833788.0,Wednesday
1468,SQ,2019-04-18,189671.0,1946404.0,Thursday
1469,SQ,2019-04-22,220967.0,2478789.0,Monday
1470,SQ,2019-04-23,199706.0,749481.0,Tuesday
1471,SQ,2019-04-24,158230.0,2470194.0,Wednesday
1472,SQ,2019-04-25,124542.0,489666.0,Thursday
1473,SQ,2019-04-26,134035.0,551666.0,Friday
1474,SQ,2019-04-29,150982.0,1565163.0,Monday
1475,SQ,2019-04-30,113543.0,1078600.0,Tuesday
