,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1558,TWLO,2019-01-02,194012.0,212303.0,Wednesday
1559,TWLO,2019-01-03,72254.0,403107.0,Thursday
1560,TWLO,2019-01-04,164738.0,363487.0,Friday
1561,TWLO,2019-01-07,201042.0,1437786.0,Monday
1562,TWLO,2019-01-08,252032.0,231938.0,Tuesday
1563,TWLO,2019-01-09,68818.0,159840.0,Wednesday
1564,TWLO,2019-01-10,51509.0,162725.0,Thursday
1565,TWLO,2019-01-11,33359.0,808505.0,Friday
1566,TWLO,2019-01-14,84460.0,1244490.0,Monday
1567,TWLO,2019-01-15,33358.0,369159.0,Tuesday
1568,TWLO,2019-01-16,203608.0,282643.0,Wednesday
1569,TWLO,2019-01-17,74805.0,744907.0,Thursday
1570,TWLO,2019-01-18,96884.0,389550.0,Friday
1571,TWLO,2019-01-22,113534.0,263433.0,Tuesday
1572,TWLO,2019-01-23,102037.0,772026.0,Wednesday
1573,TWLO,2019-01-24,43920.0,826085.0,Thursday
1574,TWLO,2019-01-25,57470.0,271906.0,Friday
1575,TWLO,2019-01-28,84927.0,169322.0,Monday
1576,TWLO,2019-01-29,34401.0,787181.0,Tuesday
1577,TWLO,2019-01-30,47904.0,236316.0,Wednesday
1578,TWLO,2019-01-31,64362.0,2087375.0,Thursday
1579,TWLO,2019-02-01,77691.0,1304751.0,Friday
1580,TWLO,2019-02-04,73053.0,269515.0,Monday
1581,TWLO,2019-02-05,51473.0,1382364.0,Tuesday
1582,TWLO,2019-02-06,39845.0,192044.0,Wednesday
1583,TWLO,2019-02-07,55045.0,180895.0,Thursday
1584,TWLO,2019-02-08,32683.0,264250.0,Friday
1585,TWLO,2019-02-11,250650.0,2276525.0,Monday
1586,TWLO,2019-02-12,144771.0,2423551.0,Tuesday
1587,TWLO,2019-02-13,1048227.0,587161.0,Wednesday
1588,TWLO,2019-02-14,451628.0,384830.0,Thursday
1589,TWLO,2019-02-15,475300.0,751669.0,Friday
1590,TWLO,2019-02-19,101035.0,2260717.0,Tuesday
1591,TWLO,2019-02-20,119845.0,1675407.0,Wednesday
1592,TWLO,2019-02-21,81414.0,541848.0,Thursday
1593,TWLO,2019-02-22,88946.0,138523.0,Friday
1594,TWLO,2019-02-25,227754.0,1310691.0,Monday
1595,TWLO,2019-02-26,47300.0,469768.0,Tuesday
1596,TWLO,2019-02-27,31108.0,1231362.0,Wednesday
1597,TWLO,2019-02-28,52865.0,1853689.0,Thursday
1598,TWLO,2019-03-01,139226.0,243321.0,Friday
1599,TWLO,2019-03-04,121561.0,555783.0,Monday
1600,TWLO,2019-03-05,191565.0,732581.0,Tuesday
1601,TWLO,2019-03-06,30009.0,512438.0,Wednesday
1602,TWLO,2019-03-07,47303.0,165511.0,Thursday
1603,TWLO,2019-03-08,161316.0,212071.0,Friday
1604,TWLO,2019-03-11,57098.0,230254.0,Monday
1605,TWLO,2019-03-12,79064.0,152049.0,Tuesday
1606,TWLO,2019-03-13,80959.0,1298546.0,Wednesday
1607,TWLO,2019-03-14,58612.0,1061586.0,Thursday
1608,TWLO,2019-03-15,154438.0,1150612.0,Friday
1609,TWLO,2019-03-18,95759.0,1021959.0,Monday
1610,TWLO,2019-03-19,48293.0,1382586.0,Tuesday
1611,TWLO,2019-03-20,38478.0,499167.0,Wednesday
1612,TWLO,2019-03-21,36915.0,696310.0,Thursday
1613,TWLO,2019-03-22,121757.0,327318.0,Friday
1614,TWLO,2019-03-25,77043.0,1026733.0,Monday
1615,TWLO,2019-03-26,80502.0,173963.0,Tuesday
1616,TWLO,2019-03-27,26126.0,375980.0,Wednesday
1617,TWLO,2019-03-28,138033.0,430841.0,Thursday
1618,TWLO,2019-03-29,67544.0,375990.0,Friday
1619,TWLO,2019-04-01,182214.0,293080.0,Monday
1620,TWLO,2019-04-02,70642.0,215206.0,Tuesday
1621,TWLO,2019-04-03,44908.0,237204.0,Wednesday
1622,TWLO,2019-04-04,42298.0,222135.0,Thursday
1623,TWLO,2019-04-05,113426.0,845966.0,Friday
1624,TWLO,2019-04-08,64124.0,440361.0,Monday
1625,TWLO,2019-04-09,59397.0,234982.0,Tuesday
1626,TWLO,2019-04-10,53989.0,106283.0,Wednesday
1627,TWLO,2019-04-11,51449.0,256749.0,Thursday
1628,TWLO,2019-04-12,63311.0,1032907.0,Friday
1629,TWLO,2019-04-15,48651.0,313254.0,Monday
1630,TWLO,2019-04-16,49221.0,330909.0,Tuesday
1631,TWLO,2019-04-17,55157.0,197946.0,Wednesday
1632,TWLO,2019-04-18,58448.0,1318962.0,Thursday
1633,TWLO,2019-04-22,46862.0,659335.0,Monday
1634,TWLO,2019-04-23,90479.0,308307.0,Tuesday
1635,TWLO,2019-04-24,69140.0,259370.0,Wednesday
1636,TWLO,2019-04-25,69384.0,209328.0,Thursday
1637,TWLO,2019-04-26,48266.0,239130.0,Friday
1638,TWLO,2019-04-29,104199.0,573336.0,Monday
1639,TWLO,2019-04-30,123968.0,1197571.0,Tuesday
