,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1476,T,2019-01-02,936444.0,11182888.0,Wednesday
1477,T,2019-01-03,106204.0,10570223.0,Thursday
1478,T,2019-01-04,208403.0,13052503.0,Friday
1479,T,2019-01-07,1137284.0,8118149.0,Monday
1480,T,2019-01-08,1293648.0,7072071.0,Tuesday
1481,T,2019-01-09,980648.0,6807993.0,Wednesday
1482,T,2019-01-10,629456.0,8543310.0,Thursday
1483,T,2019-01-11,530487.0,4799966.0,Friday
1484,T,2019-01-14,26157.0,9063857.0,Monday
1485,T,2019-01-15,492580.0,8305123.0,Tuesday
1486,T,2019-01-16,82984.0,7322432.0,Wednesday
1487,T,2019-01-17,21540.0,6095325.0,Thursday
1488,T,2019-01-18,4068796.0,8609837.0,Friday
1489,T,2019-01-22,1065742.0,10311463.0,Tuesday
1490,T,2019-01-23,561559.0,11590900.0,Wednesday
1491,T,2019-01-24,28660.0,5231512.0,Thursday
1492,T,2019-01-25,582532.0,9048061.0,Friday
1493,T,2019-01-28,630233.0,8256907.0,Monday
1494,T,2019-01-29,706937.0,5650604.0,Tuesday
1495,T,2019-01-30,5255239.0,12817971.0,Wednesday
1496,T,2019-01-31,1058218.0,16461861.0,Thursday
1497,T,2019-02-01,250028.0,13809581.0,Friday
1498,T,2019-02-04,674293.0,12810274.0,Monday
1499,T,2019-02-05,592743.0,6606234.0,Tuesday
1500,T,2019-02-06,46507.0,6221991.0,Wednesday
1501,T,2019-02-07,78202.0,5832559.0,Thursday
1502,T,2019-02-08,119741.0,5753961.0,Friday
1503,T,2019-02-11,567436.0,13546840.0,Monday
1504,T,2019-02-12,73084.0,6171616.0,Tuesday
1505,T,2019-02-13,96997.0,6863933.0,Wednesday
1506,T,2019-02-14,610541.0,4472971.0,Thursday
1507,T,2019-02-15,2210388.0,8649069.0,Friday
1508,T,2019-02-19,817584.0,6304210.0,Tuesday
1509,T,2019-02-20,20575.0,9110582.0,Wednesday
1510,T,2019-02-21,73752.0,6211616.0,Thursday
1511,T,2019-02-22,657772.0,4899029.0,Friday
1512,T,2019-02-25,68356.0,8533098.0,Monday
1513,T,2019-02-26,48767.0,9081898.0,Tuesday
1514,T,2019-02-27,44911.0,5843940.0,Wednesday
1515,T,2019-02-28,459756.0,16277146.0,Thursday
1516,T,2019-03-01,73003.0,6526902.0,Friday
1517,T,2019-03-04,123844.0,7142699.0,Monday
1518,T,2019-03-05,62148.0,5677718.0,Tuesday
1519,T,2019-03-06,524299.0,5185356.0,Wednesday
1520,T,2019-03-07,424075.0,7154911.0,Thursday
1521,T,2019-03-08,762730.0,6811111.0,Friday
1522,T,2019-03-11,65898.0,6794675.0,Monday
1523,T,2019-03-12,27141.0,6839644.0,Tuesday
1524,T,2019-03-13,64640.0,7177335.0,Wednesday
1525,T,2019-03-14,55392.0,8181188.0,Thursday
1526,T,2019-03-15,290165.0,36539242.0,Friday
1527,T,2019-03-18,653886.0,7107078.0,Monday
1528,T,2019-03-19,54762.0,10553788.0,Tuesday
1529,T,2019-03-20,1096137.0,8987858.0,Wednesday
1530,T,2019-03-21,433181.0,5733024.0,Thursday
1531,T,2019-03-22,64413.0,8158124.0,Friday
1532,T,2019-03-25,576667.0,3573420.0,Monday
1533,T,2019-03-26,601747.0,4520048.0,Tuesday
1534,T,2019-03-27,603459.0,6383082.0,Wednesday
1535,T,2019-03-28,36583.0,6856689.0,Thursday
1536,T,2019-03-29,579796.0,14684916.0,Friday
1537,T,2019-04-01,265354.0,6953626.0,Monday
1538,T,2019-04-02,69505.0,3922266.0,Tuesday
1539,T,2019-04-03,94726.0,4735430.0,Wednesday
1540,T,2019-04-04,61214.0,4519717.0,Thursday
1541,T,2019-04-05,773599.0,13058734.0,Friday
1542,T,2019-04-08,226712.0,5349946.0,Monday
1543,T,2019-04-09,185443.0,5026673.0,Tuesday
1544,T,2019-04-10,650726.0,4437033.0,Wednesday
1545,T,2019-04-11,619283.0,4068020.0,Thursday
1546,T,2019-04-12,122378.0,8236990.0,Friday
1547,T,2019-04-15,515534.0,5573633.0,Monday
1548,T,2019-04-16,540105.0,4463809.0,Tuesday
1549,T,2019-04-17,143078.0,4978429.0,Wednesday
1550,T,2019-04-18,1732218.0,5304877.0,Thursday
1551,T,2019-04-22,847518.0,6803024.0,Monday
1552,T,2019-04-23,966912.0,7194014.0,Tuesday
1553,T,2019-04-24,5271729.0,8756318.0,Wednesday
1554,T,2019-04-25,135322.0,6385704.0,Thursday
1555,T,2019-04-26,47781.0,13692169.0,Friday
1556,T,2019-04-29,94901.0,4893432.0,Monday
1557,T,2019-04-30,528885.0,11722821.0,Tuesday
