,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1722,VOO,2019-01-02,209821.0,357144.0,Wednesday
1723,VOO,2019-01-03,118505.0,476915.0,Thursday
1724,VOO,2019-01-04,156799.0,552900.0,Friday
1725,VOO,2019-01-07,215588.0,535656.0,Monday
1726,VOO,2019-01-08,349046.0,141327.0,Tuesday
1727,VOO,2019-01-09,180882.0,258697.0,Wednesday
1728,VOO,2019-01-10,157955.0,179847.0,Thursday
1729,VOO,2019-01-11,185309.0,728660.0,Friday
1730,VOO,2019-01-14,142786.0,779833.0,Monday
1731,VOO,2019-01-15,135606.0,1629513.0,Tuesday
1732,VOO,2019-01-16,138817.0,1388290.0,Wednesday
1733,VOO,2019-01-17,110154.0,390061.0,Thursday
1734,VOO,2019-01-18,179633.0,872738.0,Friday
1735,VOO,2019-01-22,221963.0,438828.0,Tuesday
1736,VOO,2019-01-23,79521.0,118104.0,Wednesday
1737,VOO,2019-01-24,68302.0,321087.0,Thursday
1738,VOO,2019-01-25,135793.0,274778.0,Friday
1739,VOO,2019-01-28,211528.0,159726.0,Monday
1740,VOO,2019-01-29,277521.0,596383.0,Tuesday
1741,VOO,2019-01-30,332812.0,307697.0,Wednesday
1742,VOO,2019-01-31,901748.0,1026212.0,Thursday
1743,VOO,2019-02-01,152190.0,148678.0,Friday
1744,VOO,2019-02-04,129499.0,220140.0,Monday
1745,VOO,2019-02-05,147987.0,323441.0,Tuesday
1746,VOO,2019-02-06,146581.0,140341.0,Wednesday
1747,VOO,2019-02-07,137023.0,116009.0,Thursday
1748,VOO,2019-02-08,135851.0,164412.0,Friday
1749,VOO,2019-02-11,146016.0,922638.0,Monday
1750,VOO,2019-02-12,121006.0,1817633.0,Tuesday
1751,VOO,2019-02-13,114054.0,249126.0,Wednesday
1752,VOO,2019-02-14,116642.0,133998.0,Thursday
1753,VOO,2019-02-15,701616.0,207635.0,Friday
1754,VOO,2019-02-19,216699.0,58331.0,Tuesday
1755,VOO,2019-02-20,91464.0,94427.0,Wednesday
1756,VOO,2019-02-21,114669.0,71270.0,Thursday
1757,VOO,2019-02-22,70890.0,162498.0,Friday
1758,VOO,2019-02-25,245259.0,845965.0,Monday
1759,VOO,2019-02-26,1244353.0,425992.0,Tuesday
1760,VOO,2019-02-27,86598.0,276437.0,Wednesday
1761,VOO,2019-02-28,86534.0,344302.0,Thursday
1762,VOO,2019-03-01,185738.0,416865.0,Friday
1763,VOO,2019-03-04,226582.0,89947.0,Monday
1764,VOO,2019-03-05,71829.0,148173.0,Tuesday
1765,VOO,2019-03-06,99865.0,189615.0,Wednesday
1766,VOO,2019-03-07,112263.0,3491229.0,Thursday
1767,VOO,2019-03-08,304523.0,124099.0,Friday
1768,VOO,2019-03-11,133488.0,147122.0,Monday
1769,VOO,2019-03-12,131075.0,126270.0,Tuesday
1770,VOO,2019-03-13,84477.0,49249.0,Wednesday
1771,VOO,2019-03-14,89438.0,643684.0,Thursday
1772,VOO,2019-03-15,110759.0,365850.0,Friday
1773,VOO,2019-03-18,139985.0,161539.0,Monday
1774,VOO,2019-03-19,171969.0,137180.0,Tuesday
1775,VOO,2019-03-20,74477.0,983122.0,Wednesday
1776,VOO,2019-03-21,129598.0,174002.0,Thursday
1777,VOO,2019-03-22,110139.0,152140.0,Friday
1778,VOO,2019-03-25,170845.0,116606.0,Monday
1779,VOO,2019-03-26,301640.0,367204.0,Tuesday
1780,VOO,2019-03-27,122169.0,289786.0,Wednesday
1781,VOO,2019-03-28,69439.0,193466.0,Thursday
1782,VOO,2019-03-29,105097.0,864286.0,Friday
1783,VOO,2019-04-01,1145791.0,118519.0,Monday
1784,VOO,2019-04-02,83935.0,115355.0,Tuesday
1785,VOO,2019-04-03,132901.0,76017.0,Wednesday
1786,VOO,2019-04-04,88809.0,171066.0,Thursday
1787,VOO,2019-04-05,117815.0,381903.0,Friday
1788,VOO,2019-04-08,264070.0,88363.0,Monday
1789,VOO,2019-04-09,103021.0,193588.0,Tuesday
1790,VOO,2019-04-10,100386.0,242712.0,Wednesday
1791,VOO,2019-04-11,111152.0,128220.0,Thursday
1792,VOO,2019-04-12,157758.0,239302.0,Friday
1793,VOO,2019-04-15,125928.0,117569.0,Monday
1794,VOO,2019-04-16,139629.0,117732.0,Tuesday
1795,VOO,2019-04-17,93251.0,66277.0,Wednesday
1796,VOO,2019-04-18,74661.0,90167.0,Thursday
1797,VOO,2019-04-22,185680.0,95913.0,Monday
1798,VOO,2019-04-23,101550.0,448033.0,Tuesday
1799,VOO,2019-04-24,151190.0,108185.0,Wednesday
1800,VOO,2019-04-25,86229.0,203931.0,Thursday
1801,VOO,2019-04-26,163854.0,98770.0,Friday
1802,VOO,2019-04-29,138855.0,732319.0,Monday
1803,VOO,2019-04-30,135661.0,778656.0,Tuesday
