,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1804,VTI,2019-01-02,272797.0,124589.0,Wednesday
1805,VTI,2019-01-03,167825.0,126156.0,Thursday
1806,VTI,2019-01-04,177407.0,531143.0,Friday
1807,VTI,2019-01-07,267327.0,217642.0,Monday
1808,VTI,2019-01-08,235697.0,142621.0,Tuesday
1809,VTI,2019-01-09,207360.0,1544815.0,Wednesday
1810,VTI,2019-01-10,121790.0,106960.0,Thursday
1811,VTI,2019-01-11,165393.0,212954.0,Friday
1812,VTI,2019-01-14,159424.0,76751.0,Monday
1813,VTI,2019-01-15,86430.0,86989.0,Tuesday
1814,VTI,2019-01-16,139834.0,232675.0,Wednesday
1815,VTI,2019-01-17,141004.0,109831.0,Thursday
1816,VTI,2019-01-18,209646.0,191158.0,Friday
1817,VTI,2019-01-22,328289.0,192143.0,Tuesday
1818,VTI,2019-01-23,127565.0,87701.0,Wednesday
1819,VTI,2019-01-24,102726.0,45982.0,Thursday
1820,VTI,2019-01-25,96889.0,313133.0,Friday
1821,VTI,2019-01-28,229719.0,500004.0,Monday
1822,VTI,2019-01-29,75677.0,152904.0,Tuesday
1823,VTI,2019-01-30,142703.0,71063.0,Wednesday
1824,VTI,2019-01-31,131135.0,221856.0,Thursday
1825,VTI,2019-02-01,115488.0,156569.0,Friday
1826,VTI,2019-02-04,211751.0,144845.0,Monday
1827,VTI,2019-02-05,126977.0,550194.0,Tuesday
1828,VTI,2019-02-06,132137.0,123679.0,Wednesday
1829,VTI,2019-02-07,362140.0,554924.0,Thursday
1830,VTI,2019-02-08,70216.0,46388.0,Friday
1831,VTI,2019-02-11,235864.0,371723.0,Monday
1832,VTI,2019-02-12,158553.0,51386.0,Tuesday
1833,VTI,2019-02-13,174438.0,81200.0,Wednesday
1834,VTI,2019-02-14,107436.0,138614.0,Thursday
1835,VTI,2019-02-15,117480.0,357435.0,Friday
1836,VTI,2019-02-19,261804.0,138544.0,Tuesday
1837,VTI,2019-02-20,129722.0,191820.0,Wednesday
1838,VTI,2019-02-21,139449.0,135141.0,Thursday
1839,VTI,2019-02-22,83941.0,211287.0,Friday
1840,VTI,2019-02-25,273075.0,138213.0,Monday
1841,VTI,2019-02-26,125232.0,75517.0,Tuesday
1842,VTI,2019-02-27,152398.0,249043.0,Wednesday
1843,VTI,2019-02-28,85249.0,479231.0,Thursday
1844,VTI,2019-03-01,144815.0,85412.0,Friday
1845,VTI,2019-03-04,330311.0,91111.0,Monday
1846,VTI,2019-03-05,94265.0,330634.0,Tuesday
1847,VTI,2019-03-06,86874.0,124789.0,Wednesday
1848,VTI,2019-03-07,119526.0,79072.0,Thursday
1849,VTI,2019-03-08,204945.0,130432.0,Friday
1850,VTI,2019-03-11,214672.0,110482.0,Monday
1851,VTI,2019-03-12,116733.0,184058.0,Tuesday
1852,VTI,2019-03-13,137280.0,157369.0,Wednesday
1853,VTI,2019-03-14,131315.0,66148.0,Thursday
1854,VTI,2019-03-15,153520.0,279055.0,Friday
1855,VTI,2019-03-18,174989.0,333024.0,Monday
1856,VTI,2019-03-19,150315.0,1955534.0,Tuesday
1857,VTI,2019-03-20,202092.0,76633.0,Wednesday
1858,VTI,2019-03-21,98232.0,111867.0,Thursday
1859,VTI,2019-03-22,87192.0,721709.0,Friday
1860,VTI,2019-03-25,182770.0,127339.0,Monday
1861,VTI,2019-03-26,114961.0,122218.0,Tuesday
1862,VTI,2019-03-27,103227.0,65200.0,Wednesday
1863,VTI,2019-03-28,422364.0,127490.0,Thursday
1864,VTI,2019-03-29,129046.0,772136.0,Friday
1865,VTI,2019-04-01,318295.0,300859.0,Monday
1866,VTI,2019-04-02,125436.0,164662.0,Tuesday
1867,VTI,2019-04-03,157014.0,387312.0,Wednesday
1868,VTI,2019-04-04,114266.0,193720.0,Thursday
1869,VTI,2019-04-05,116077.0,53720.0,Friday
1870,VTI,2019-04-08,220843.0,89248.0,Monday
1871,VTI,2019-04-09,109729.0,294898.0,Tuesday
1872,VTI,2019-04-10,147106.0,169324.0,Wednesday
1873,VTI,2019-04-11,119811.0,275313.0,Thursday
1874,VTI,2019-04-12,113317.0,225103.0,Friday
1875,VTI,2019-04-15,252278.0,186776.0,Monday
1876,VTI,2019-04-16,162519.0,1123831.0,Tuesday
1877,VTI,2019-04-17,96619.0,319899.0,Wednesday
1878,VTI,2019-04-18,108571.0,147027.0,Thursday
1879,VTI,2019-04-22,267983.0,307963.0,Monday
1880,VTI,2019-04-23,127949.0,193878.0,Tuesday
1881,VTI,2019-04-24,184260.0,213643.0,Wednesday
1882,VTI,2019-04-25,137756.0,59205.0,Thursday
1883,VTI,2019-04-26,147901.0,149149.0,Friday
1884,VTI,2019-04-29,195142.0,228822.0,Monday
1885,VTI,2019-04-30,128352.0,169175.0,Tuesday
