,SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK
1640,V,2019-01-02,309374.0,1981021.0,Wednesday
1641,V,2019-01-03,232917.0,1629931.0,Thursday
1642,V,2019-01-04,225930.0,4617385.0,Friday
1643,V,2019-01-07,208614.0,8191286.0,Monday
1644,V,2019-01-08,266547.0,2533952.0,Tuesday
1645,V,2019-01-09,273249.0,2258016.0,Wednesday
1646,V,2019-01-10,200977.0,9591062.0,Thursday
1647,V,2019-01-11,159728.0,1505585.0,Friday
1648,V,2019-01-14,9081.0,5379066.0,Monday
1649,V,2019-01-15,153952.0,2368864.0,Tuesday
1650,V,2019-01-16,222801.0,2489826.0,Wednesday
1651,V,2019-01-17,123555.0,1331767.0,Thursday
1652,V,2019-01-18,15571.0,3605003.0,Friday
1653,V,2019-01-22,248330.0,2883219.0,Tuesday
1654,V,2019-01-23,11245.0,1489014.0,Wednesday
1655,V,2019-01-24,163967.0,1071296.0,Thursday
1656,V,2019-01-25,194485.0,7482833.0,Friday
1657,V,2019-01-28,226827.0,5638680.0,Monday
1658,V,2019-01-29,151180.0,1814252.0,Tuesday
1659,V,2019-01-30,175963.0,1918589.0,Wednesday
1660,V,2019-01-31,728430.0,6146784.0,Thursday
1661,V,2019-02-01,275460.0,2261921.0,Friday
1662,V,2019-02-04,147510.0,10829543.0,Monday
1663,V,2019-02-05,223903.0,2009616.0,Tuesday
1664,V,2019-02-06,161611.0,2434673.0,Wednesday
1665,V,2019-02-07,196985.0,6799840.0,Thursday
1666,V,2019-02-08,124084.0,2765359.0,Friday
1667,V,2019-02-11,180206.0,5472791.0,Monday
1668,V,2019-02-12,23208.0,2279191.0,Tuesday
1669,V,2019-02-13,201329.0,1519799.0,Wednesday
1670,V,2019-02-14,183485.0,2286556.0,Thursday
1671,V,2019-02-15,510644.0,2949713.0,Friday
1672,V,2019-02-19,206624.0,6344128.0,Tuesday
1673,V,2019-02-20,126494.0,1488901.0,Wednesday
1674,V,2019-02-21,128724.0,5857201.0,Thursday
1675,V,2019-02-22,104302.0,6849391.0,Friday
1676,V,2019-02-25,245565.0,7404235.0,Monday
1677,V,2019-02-26,205593.0,3145395.0,Tuesday
1678,V,2019-02-27,172230.0,7949819.0,Wednesday
1679,V,2019-02-28,149176.0,2825110.0,Thursday
1680,V,2019-03-01,371405.0,1389220.0,Friday
1681,V,2019-03-04,225460.0,2121354.0,Monday
1682,V,2019-03-05,132308.0,7784896.0,Tuesday
1683,V,2019-03-06,144831.0,6599853.0,Wednesday
1684,V,2019-03-07,153425.0,6828123.0,Thursday
1685,V,2019-03-08,274549.0,1240379.0,Friday
1686,V,2019-03-11,153862.0,6120773.0,Monday
1687,V,2019-03-12,215529.0,2796075.0,Tuesday
1688,V,2019-03-13,140766.0,1976182.0,Wednesday
1689,V,2019-03-14,136206.0,3518265.0,Thursday
1690,V,2019-03-15,56742.0,17554236.0,Friday
1691,V,2019-03-18,222245.0,8700782.0,Monday
1692,V,2019-03-19,129188.0,8130991.0,Tuesday
1693,V,2019-03-20,161752.0,3084377.0,Wednesday
1694,V,2019-03-21,121491.0,1750432.0,Thursday
1695,V,2019-03-22,153308.0,3356843.0,Friday
1696,V,2019-03-25,262872.0,1981646.0,Monday
1697,V,2019-03-26,156191.0,17459135.0,Tuesday
1698,V,2019-03-27,142021.0,10662989.0,Wednesday
1699,V,2019-03-28,138839.0,14769069.0,Thursday
1700,V,2019-03-29,160579.0,6042795.0,Friday
1701,V,2019-04-01,229948.0,2198035.0,Monday
1702,V,2019-04-02,114162.0,3894636.0,Tuesday
1703,V,2019-04-03,156736.0,6005302.0,Wednesday
1704,V,2019-04-04,132353.0,1065848.0,Thursday
1705,V,2019-04-05,117954.0,802977.0,Friday
1706,V,2019-04-08,120150.0,3287410.0,Monday
1707,V,2019-04-09,121661.0,5588209.0,Tuesday
1708,V,2019-04-10,103569.0,1050112.0,Wednesday
1709,V,2019-04-11,182328.0,4107913.0,Thursday
1710,V,2019-04-12,111541.0,4081017.0,Friday
1711,V,2019-04-15,109134.0,7766789.0,Monday
1712,V,2019-04-16,150762.0,3202765.0,Tuesday
1713,V,2019-04-17,152310.0,953707.0,Wednesday
1714,V,2019-04-18,423702.0,5593554.0,Thursday
1715,V,2019-04-22,119275.0,2066192.0,Monday
1716,V,2019-04-23,144542.0,1313329.0,Tuesday
1717,V,2019-04-24,152316.0,1854413.0,Wednesday
1718,V,2019-04-25,490052.0,1267699.0,Thursday
1719,V,2019-04-26,116584.0,4922511.0,Friday
1720,V,2019-04-29,131790.0,7626598.0,Monday
1721,V,2019-04-30,167022.0,1964327.0,Tuesday
